Demographic_Type,Demographic,Vote_R
National,National,0.46320516637791154
Party,Dem,0.06284474829304394
Party,Rep,0.9351508837729057
Party,Ind,0.5173304714126793
Gender,Male,0.5242395873550912
Gender,Female,0.4079361497265696
Age,18 - 24,0.35713541269648313
Age,25 - 34,0.35594938997399467
Age,35 - 44,0.3989564486476014
Age,45 - 54,0.48509058122662024
Age,> 54,0.4974099716998149
Race,White,0.5286757109343407
Race,Hispanic,0.229276206845303
Race,Black,0.15703494437484694
Race,Other,0.30494442140981076
Education,No Bachelors,0.4799690945669758
Education,Bachelors,0.44422868362870077
Urbanicity,R1,0.6697036107577953
Urbanicity,R2,0.5947886841610267
Urbanicity,S3,0.5290320653471811
Urbanicity,S4,0.42184340042959156
Urbanicity,U5,0.3042601784955066
Urbanicity,U6,0.15727697258353304
Married,Unmarried,0.3645622397005289
Married,Married,0.5687059808265551
Party Gender,Dem Male,0.07364884266306107
Party Gender,Dem Female,0.055118264009796566
Party Gender,Rep Male,0.9434653655472784
Party Gender,Rep Female,0.9254077028242186
Party Gender,Ind Male,0.545999309057721
Party Gender,Ind Female,0.48906588966809855
Party Age,Dem 18 - 24,0.0439215552172517
Party Age,Dem 25 - 34,0.05964260688716131
Party Age,Dem 35 - 44,0.05015616669351989
Party Age,Dem 45 - 54,0.06372122333847208
Party Age,Dem > 54,0.068509809767353
Party Age,Rep 18 - 24,0.9096105384785461
Party Age,Rep 25 - 34,0.9311986867297525
Party Age,Rep 35 - 44,0.922584065075758
Party Age,Rep 45 - 54,0.9385808322406356
Party Age,Rep > 54,0.9381443474516316
Party Age,Ind 18 - 24,0.4328834514801527
Party Age,Ind 25 - 34,0.5099437059479618
Party Age,Ind 35 - 44,0.4673201049013702
Party Age,Ind 45 - 54,0.5250905694806983
Party Age,Ind > 54,0.5361463192676491
Party Race,Dem White,0.0777519699475382
Party Race,Dem Hispanic,0.03414270263653397
Party Race,Dem Black,0.02201727482146608
Party Race,Dem Other,0.04731859836584062
Party Race,Rep White,0.9435624160278965
Party Race,Rep Hispanic,0.8673428197073422
Party Race,Rep Black,0.81832955920978
Party Race,Rep Other,0.906562728052264
Party Race,Ind White,0.5430016449583366
Party Race,Ind Hispanic,0.3335394236187764
Party Race,Ind Black,0.25255880641623596
Party Race,Ind Other,0.41531577343532594
Party Education,Dem No Bachelors,0.07176109726447553
Party Education,Dem Bachelors,0.053054733516267064
Party Education,Rep No Bachelors,0.9463538189056753
Party Education,Rep Bachelors,0.9225226711556629
Party Education,Ind No Bachelors,0.5570439820550019
Party Education,Ind Bachelors,0.46618868099486627
Party Urbanicity,Dem R1,0.10542346690845927
Party Urbanicity,Dem R2,0.08141755860804811
Party Urbanicity,Dem S3,0.07563230770601703
Party Urbanicity,Dem S4,0.05624662581522536
Party Urbanicity,Dem U5,0.051409948547759196
Party Urbanicity,Dem U6,0.04065208721888969
Party Urbanicity,Rep R1,0.9577164089220107
Party Urbanicity,Rep R2,0.9429510835071118
Party Urbanicity,Rep S3,0.9387867839062493
Party Urbanicity,Rep S4,0.9192342967355499
Party Urbanicity,Rep U5,0.9117415116961983
Party Urbanicity,Rep U6,0.8943228437121628
Party Urbanicity,Ind R1,0.6108717470216654
Party Urbanicity,Ind R2,0.5402230621353845
Party Urbanicity,Ind S3,0.5263444644480739
Party Urbanicity,Ind S4,0.45894035797639243
Party Urbanicity,Ind U5,0.4455692359542143
Party Urbanicity,Ind U6,0.3975726539032912
Party Married,Dem Unmarried,0.05385421839919388
Party Married,Dem Married,0.0778438294944765
Party Married,Rep Unmarried,0.9227064642851317
Party Married,Rep Married,0.9431625958616888
Party Married,Ind Unmarried,0.4827796903159739
Party Married,Ind Married,0.5510427327045649
Gender Age,Male 18 - 24,0.4201638279664715
Gender Age,Male 25 - 34,0.4157254290963279
Gender Age,Male 35 - 44,0.4625286661403216
Gender Age,Male 45 - 54,0.5478029831368909
Gender Age,Male > 54,0.5579111364164465
Gender Age,Female 18 - 24,0.292529869992383
Gender Age,Female 25 - 34,0.30125088163176417
Gender Age,Female 35 - 44,0.3427365306509743
Gender Age,Female 45 - 54,0.4274451435010083
Gender Age,Female > 54,0.44316142759324145
Gender Race,Male White,0.5871892967432145
Gender Race,Male Hispanic,0.2542326717649263
Gender Race,Male Black,0.20364506794411635
Gender Race,Male Other,0.34867632997408843
Gender Race,Female White,0.473287606095711
Gender Race,Female Hispanic,0.20879290713221887
Gender Race,Female Black,0.1245464781020607
Gender Race,Female Other,0.26883642783936557
Gender Education,Male No Bachelors,0.5418028400841924
