Demographic_Type,Demographic,Vote_R
National,National,0.46071750988099464
Party,Dem,0.050945276266840325
Party,Rep,0.9465515483022388
Party,Ind,0.5074877028032821
Gender,Male,0.5233585491407464
Gender,Female,0.4039936385560083
Age,18 - 24,0.35573635225189065
Age,25 - 34,0.35010131866127264
Age,35 - 44,0.3989726208790948
Age,45 - 54,0.48261294578317343
Age,> 54,0.49482319864583885
Race,White,0.5270676497852479
Race,Hispanic,0.2215914116728332
Race,Black,0.15170748785151203
Race,Other,0.30079905097593984
Education,No Bachelors,0.47598371458600747
Education,Bachelors,0.443436424746093
Urbanicity,R1,0.6697249213052702
Urbanicity,R2,0.5934721547730646
Urbanicity,S3,0.5277515742894491
Urbanicity,S4,0.418326692230231
Urbanicity,U5,0.30090908812971195
Urbanicity,U6,0.1492799324938011
Married,Unmarried,0.35966018400828453
Married,Married,0.5688005782234655
Party Gender,Dem Male,0.0617631139615648
Party Gender,Dem Female,0.04320896352609209
Party Gender,Rep Male,0.9544353785768254
Party Gender,Rep Female,0.9373130188281837
Party Gender,Ind Male,0.5402378676348334
Party Gender,Ind Female,0.4751993441857862
Party Age,Dem 18 - 24,0.03593974429738564
Party Age,Dem 25 - 34,0.04757919455067009
Party Age,Dem 35 - 44,0.04162165113409233
Party Age,Dem 45 - 54,0.05192485984614976
Party Age,Dem > 54,0.05532933494779741
Party Age,Rep 18 - 24,0.9246629928047664
Party Age,Rep 25 - 34,0.9419091734601133
Party Age,Rep 35 - 44,0.9368146672982152
Party Age,Rep 45 - 54,0.9493044646013776
Party Age,Rep > 54,0.9491209299600565
Party Age,Ind 18 - 24,0.42320416167304575
Party Age,Ind 25 - 34,0.49737776335153305
Party Age,Ind 35 - 44,0.46560734135168935
Party Age,Ind 45 - 54,0.5134116580963507
Party Age,Ind > 54,0.5252601063915818
Party Race,Dem White,0.0633965207306867
Party Race,Dem Hispanic,0.02756595735369402
Party Race,Dem Black,0.01651705283325451
Party Race,Dem Other,0.037815067373568274
Party Race,Rep White,0.9557893855385875
Party Race,Rep Hispanic,0.8649996061938411
Party Race,Rep Black,0.8212797989911833
Party Race,Rep Other,0.920103442485838
Party Race,Ind White,0.5351422919693902
Party Race,Ind Hispanic,0.3032055443540222
Party Race,Ind Black,0.22600981652703225
Party Race,Ind Other,0.4011738269928619
Party Education,Dem No Bachelors,0.05891442066351497
Party Education,Dem Bachelors,0.04219527762370883
Party Education,Rep No Bachelors,0.9555105853784576
Party Education,Rep Bachelors,0.9364527104795223
Party Education,Ind No Bachelors,0.5459577221242042
Party Education,Ind Bachelors,0.45794724078773985
Party Urbanicity,Dem R1,0.08859327212035795
Party Urbanicity,Dem R2,0.06637015007639561
Party Urbanicity,Dem S3,0.06213124680244292
Party Urbanicity,Dem S4,0.044357375090112255
Party Urbanicity,Dem U5,0.04206466885893963
Party Urbanicity,Dem U6,0.03069942435742532
Party Urbanicity,Rep R1,0.967043973566856
Party Urbanicity,Rep R2,0.9535005703105345
Party Urbanicity,Rep S3,0.9507237336055673
Party Urbanicity,Rep S4,0.9318065139324248
Party Urbanicity,Rep U5,0.9256118687969229
Party Urbanicity,Rep U6,0.9038222260034067
Party Urbanicity,Ind R1,0.6068057547256106
Party Urbanicity,Ind R2,0.5286706170655915
Party Urbanicity,Ind S3,0.518547925553856
Party Urbanicity,Ind S4,0.4433384206578845
