Demographic_Type,Demographic,Vote_R
National,National,0.44854031999681493
Party,Dem,0.06911345558869648
Party,Rep,0.9112733208604764
Party,Ind,0.45207944220879803
Gender,Male,0.5039353559131492
Gender,Female,0.39837798350792963
Age,18 - 24,0.38007858899250074
Age,25 - 34,0.33653002739288335
Age,35 - 44,0.39715367610239116
Age,45 - 54,0.4840950289995515
Age,> 54,0.47349940897568704
Race,White,0.5067325536081131
Race,Hispanic,0.2556914826355501
Race,Black,0.15952692046988828
Race,Other,0.3206282531355919
Education,No Bachelors,0.45787744026137334
Education,Bachelors,0.4379708580169381
Urbanicity,R1,0.6585627933883783
Urbanicity,R2,0.5722811058455228
Urbanicity,S3,0.48548555528936976
Urbanicity,S4,0.39754606140174864
Urbanicity,U5,0.31759613855678537
Urbanicity,U6,0.1613528267884359
Married,Unmarried,0.3577181104530089
Married,Married,0.545676702702032
Party Gender,Dem Male,0.07646910598153744
Party Gender,Dem Female,0.06385310565033714
Party Gender,Rep Male,0.9181852294008226
Party Gender,Rep Female,0.9031737209771815
Party Gender,Ind Male,0.46906669095150944
Party Gender,Ind Female,0.4353317286583349
Party Age,Dem 18 - 24,0.07222824019601569
Party Age,Dem 25 - 34,0.05982223859613723
Party Age,Dem 35 - 44,0.06409488321562877
Party Age,Dem 45 - 54,0.08117563193401049
Party Age,Dem > 54,0.06847791113548055
Party Age,Rep 18 - 24,0.9184345698817339
Party Age,Rep 25 - 34,0.9012136023411814
Party Age,Rep 35 - 44,0.908323294237906
Party Age,Rep 45 - 54,0.9263603411439408
Party Age,Rep > 54,0.9079622075305935
Party Age,Ind 18 - 24,0.46403100149220655
Party Age,Ind 25 - 34,0.4194740626044163
Party Age,Ind 35 - 44,0.4348224096986429
Party Age,Ind 45 - 54,0.49489998004518154
Party Age,Ind > 54,0.44692961164520173
Party Race,Dem White,0.07937419898843504
Party Race,Dem Hispanic,0.05937496029794933
Party Race,Dem Black,0.02998903128922067
Party Race,Dem Other,0.07036850041412247
Party Race,Rep White,0.9171814861559804
Party Race,Rep Hispanic,0.886576510812626
Party Race,Rep Black,0.7970957737355178
Party Race,Rep Other,0.904268875361167
Party Race,Ind White,0.4658171251686195
Party Race,Ind Hispanic,0.38777413661331567
Party Race,Ind Black,0.24223226570019493
Party Race,Ind Other,0.42968793919828474
Party Education,Dem No Bachelors,0.07265414310538221
Party Education,Dem Bachelors,0.06522583485745707
Party Education,Rep No Bachelors,0.9183583494912952
Party Education,Rep Bachelors,0.9032869095415785
Party Education,Ind No Bachelors,0.4714305277744639
Party Education,Ind Bachelors,0.42715973235817145
Party Urbanicity,Dem R1,0.11560148864211897
Party Urbanicity,Dem R2,0.08190231346687306
Party Urbanicity,Dem S3,0.06245508329708722
Party Urbanicity,Dem S4,0.05506064586352957
Party Urbanicity,Dem U5,0.07189959889844731
Party Urbanicity,Dem U6,0.04977315894353384
Party Urbanicity,Rep R1,0.9455210097571937
Party Urbanicity,Rep R2,0.9195232702453241
Party Urbanicity,Rep S3,0.8951998499368123
