Demographic_Type,Demographic,Vote_R
National,National,0.44865234816429733
Party,Dem,0.06665480266238265
Party,Rep,0.9149242659637831
Party,Ind,0.45096834149343473
Gender,Male,0.5038211513768949
Gender,Female,0.39869487409353144
Age,18 - 24,0.37866747342752854
Age,25 - 34,0.3372643823260804
Age,35 - 44,0.39711439147034594
Age,45 - 54,0.4845403756904004
Age,> 54,0.47354530987407467
Race,White,0.50686501328838
Race,Hispanic,0.2548469712965232
Race,Black,0.15964400384767796
Race,Other,0.32185342865528765
Education,No Bachelors,0.45770983061952064
Education,Bachelors,0.4383994314478592
Urbanicity,R1,0.6594277159358295
Urbanicity,R2,0.5741755448957334
Urbanicity,S3,0.48708497148781776
Urbanicity,S4,0.39636015106175637
Urbanicity,U5,0.31692126756681577
Urbanicity,U6,0.1590132438975809
Married,Unmarried,0.35716502888852164
Married,Married,0.5465000805910206
Party Gender,Dem Male,0.07347218614144058
Party Gender,Dem Female,0.06177939112858578
Party Gender,Rep Male,0.9213547744225878
Party Gender,Rep Female,0.9073887863985611
Party Gender,Ind Male,0.4670721501390855
Party Gender,Ind Female,0.435091610755354
Party Age,Dem 18 - 24,0.06907955755347958
Party Age,Dem 25 - 34,0.05823967626114407
Party Age,Dem 35 - 44,0.061740414318952615
Party Age,Dem 45 - 54,0.07882077062224242
Party Age,Dem > 54,0.06581914195154676
Party Age,Rep 18 - 24,0.9213513810049303
Party Age,Rep 25 - 34,0.9063997483520725
Party Age,Rep 35 - 44,0.9123200184098467
Party Age,Rep 45 - 54,0.9299692724776372
Party Age,Rep > 54,0.9114293293887002
Party Age,Ind 18 - 24,0.4604639852686633
Party Age,Ind 25 - 34,0.42151500875514014
Party Age,Ind 35 - 44,0.43385215804073923
Party Age,Ind 45 - 54,0.4951344860445154
Party Age,Ind > 54,0.4450005104206604
Party Race,Dem White,0.07643021587386156
Party Race,Dem Hispanic,0.057062381481000984
Party Race,Dem Black,0.028998296443728054
Party Race,Dem Other,0.06941752986484019
Party Race,Rep White,0.9206342307864339
Party Race,Rep Hispanic,0.8910558772207684
Party Race,Rep Black,0.8036171532867437
Party Race,Rep Other,0.9094057029597471
Party Race,Ind White,0.46449983385755117
Party Race,Ind Hispanic,0.386426146271881
Party Race,Ind Black,0.24032314870787733
Party Race,Ind Other,0.4346257193076553
Party Education,Dem No Bachelors,0.06995866255594205
Party Education,Dem Bachelors,0.06302721503857145
Party Education,Rep No Bachelors,0.9216974145003777
Party Education,Rep Bachelors,0.9072894132404025
Party Education,Ind No Bachelors,0.4699419592998147
Party Education,Ind Bachelors,0.4265347225655862
Party Urbanicity,Dem R1,0.1126634629174052
Party Urbanicity,Dem R2,0.0800836240694806
Party Urbanicity,Dem S3,0.06077241786080893
Party Urbanicity,Dem S4,0.052242354107201044
Party Urbanicity,Dem U5,0.0694747081495621
Party Urbanicity,Dem U6,0.04687833516803786
Party Urbanicity,Rep R1,0.948328172838285
Party Urbanicity,Rep R2,0.9238841764673038
Party Urbanicity,Rep S3,0.9002055538186443
Party Urbanicity,Rep S4,0.8863885583155229
Party Urbanicity,Rep U5,0.9134633344994886
Party Urbanicity,Rep U6,0.8769021639355906
Party Urbanicity,Ind R1,0.5699416447366348
Party Urbanicity,Ind R2,0.47141328750882355
Party Urbanicity,Ind S3,0.4019964768028851
Party Urbanicity,Ind S4,0.3710950886508473
Party Urbanicity,Ind U5,0.44920361224351035
Party Urbanicity,Ind U6,0.35261527722211494
Party Married,Dem Unmarried,0.061003090044786545
Party Married,Dem Married,0.07608366808848752
Party Married,Rep Unmarried,0.9051594170428616
Party Married,Rep Married,0.9212108716364502
Party Married,Ind Unmarried,0.43071036600713586
Party Married,Ind Married,0.470734672127964
Gender Age,Male 18 - 24,0.4372729535350562
Gender Age,Male 25 - 34,0.39003123507745396
Gender Age,Male 35 - 44,0.45485470542847606
Gender Age,Male 45 - 54,0.5417448835142755
Gender Age,Male > 54,0.5279327193833275
Gender Age,Female 18 - 24,0.3185955387047143
Gender Age,Female 25 - 34,0.28897968200481244
Gender Age,Female 35 - 44,0.34605190153600773
Gender Age,Female 45 - 54,0.4319578115892252
Gender Age,Female > 54,0.4247786820343647
Gender Race,Male White,0.5597292367211927
Gender Race,Male Hispanic,0.27707227043584265
Gender Race,Male Black,0.20183362844125005
Gender Race,Male Other,0.36127127433517386
Gender Race,Female White,0.45682451227937604
Gender Race,Female Hispanic,0.2366053066637382
Gender Race,Female Black,0.13023674013097156
Gender Race,Female Other,0.28930741442684055
Gender Education,Male No Bachelors,0.5137861944854502
Gender Education,Male Bachelors,0.49236988858458586
Gender Education,Female No Bachelors,0.40624360555205524
Gender Education,Female Bachelors,0.39026536785473903
Gender Urbanicity,Male R1,0.7147698701575171
Gender Urbanicity,Male R2,0.6310666276002116
Gender Urbanicity,Male S3,0.546587307472084
Gender Urbanicity,Male S4,0.4528777254599602
Gender Urbanicity,Male U5,0.3623453518231838
Gender Urbanicity,Male U6,0.18666362646209275
Gender Urbanicity,Female R1,0.606436442935594
Gender Urbanicity,Female R2,0.5211667565993677
Gender Urbanicity,Female S3,0.43272577268575074
Gender Urbanicity,Female S4,0.34604170157761094
Gender Urbanicity,Female U5,0.27705116895218435
Gender Urbanicity,Female U6,0.13554175342230806
Gender Married,Male Unmarried,0.4189934996225305
Gender Married,Male Married,0.5838744175083178
Gender Married,Female Unmarried,0.3072979410980039
Gender Married,Female Married,0.5082221760963981
Age Race,18 - 24 White,0.45328322153646167
Age Race,18 - 24 Hispanic,0.18151019143691885
Age Race,18 - 24 Black,0.1291779021540779
Age Race,18 - 24 Other,0.24836008691536607
Age Race,25 - 34 White,0.3982948536257367
Age Race,25 - 34 Hispanic,0.176079320019585
Age Race,25 - 34 Black,0.11323527629859756
Age Race,25 - 34 Other,0.22196442672888322
Age Race,35 - 44 White,0.4612875999597259
Age Race,35 - 44 Hispanic,0.21668508086392765
Age Race,35 - 44 Black,0.13283242978846227
Age Race,35 - 44 Other,0.2687438781902372
Age Race,45 - 54 White,0.5518554573147272
Age Race,45 - 54 Hispanic,0.283270399854773
Age Race,45 - 54 Black,0.17265884450944627
Age Race,45 - 54 Other,0.3504359247982556
Age Race,> 54 White,0.52383005306783
Age Race,> 54 Hispanic,0.2870466524900224
Age Race,> 54 Black,0.1759502380909956
Age Race,> 54 Other,0.3539033649357106
Age Education,18 - 24 No Bachelors,0.38248652728111265
Age Education,18 - 24 Bachelors,0.36686509563425573
Age Education,25 - 34 No Bachelors,0.34176830425107907
Age Education,25 - 34 Bachelors,0.3332435441308125
Age Education,35 - 44 No Bachelors,0.40423714927497684
Age Education,35 - 44 Bachelors,0.391852282096782
Age Education,45 - 54 No Bachelors,0.48915458913655246
Age Education,45 - 54 Bachelors,0.48031274885881126
Age Education,> 54 No Bachelors,0.48249412990548773
Age Education,> 54 Bachelors,0.46184447974616666
Age Urbanicity,18 - 24 R1,0.646019819843876
Age Urbanicity,18 - 24 R2,0.528076536509922
Age Urbanicity,18 - 24 S3,0.4142785642908639
Age Urbanicity,18 - 24 S4,0.32287254982105645
Age Urbanicity,18 - 24 U5,0.24682957325234117
Age Urbanicity,18 - 24 U6,0.11526558670828689
Age Urbanicity,25 - 34 R1,0.6165746507619511
Age Urbanicity,25 - 34 R2,0.5016963551127124
Age Urbanicity,25 - 34 S3,0.3853543580524738
Age Urbanicity,25 - 34 S4,0.29281520186366766
Age Urbanicity,25 - 34 U5,0.2192651529689413
Age Urbanicity,25 - 34 U6,0.10667673319390253
Age Urbanicity,35 - 44 R1,0.6632680561914479
Age Urbanicity,35 - 44 R2,0.5583511283561723
