Demographic_Type,Demographic,Vote_R
National,National,0.4612634089373884
Party,Dem,0.05501186049713348
Party,Rep,0.9425871852441572
Party,Ind,0.5086696257021319
Gender,Male,0.5237936224725028
Gender,Female,0.4046398945703663
Age,18 - 24,0.3574214152064623
Age,25 - 34,0.3519630887416624
Age,35 - 44,0.3983365514458891
Age,45 - 54,0.48260756078776723
Age,> 54,0.49551563776949303
Race,White,0.527532159215643
Race,Hispanic,0.22375524008225733
Race,Black,0.1516414696129915
Race,Other,0.3016038928114635
Education,No Bachelors,0.4775004185795992
Education,Bachelors,0.44288338905784835
Urbanicity,R1,0.6698112911714574
Urbanicity,R2,0.592574801213453
Urbanicity,S3,0.5270542403495603
Urbanicity,S4,0.41908625581058645
Urbanicity,U5,0.3027660378986912
Urbanicity,U6,0.1521754376921272
Married,Unmarried,0.36107147661689065
Married,Married,0.5684209195368737
Party Gender,Dem Male,0.06631340624283932
Party Gender,Dem Female,0.04692962680034848
Party Gender,Rep Male,0.9508146027868315
Party Gender,Rep Female,0.9329460290020746
Party Gender,Ind Male,0.5412364030450804
Party Gender,Ind Female,0.4765620686478778
Party Age,Dem 18 - 24,0.03924646649618938
Party Age,Dem 25 - 34,0.05210053105741001
Party Age,Dem 35 - 44,0.044442593358794295
Party Age,Dem 45 - 54,0.05583837437002304
Party Age,Dem > 54,0.05975560567105214
Party Age,Rep 18 - 24,0.9206463754328413
Party Age,Rep 25 - 34,0.9378498522926776
Party Age,Rep 35 - 44,0.9318367312398363
Party Age,Rep 45 - 54,0.9450076493604814
Party Age,Rep > 54,0.9454590701342884
Party Age,Ind 18 - 24,0.4302920634249989
Party Age,Ind 25 - 34,0.49953555351580514
Party Age,Ind 35 - 44,0.46219859441985467
Party Age,Ind 45 - 54,0.5132688842735449
Party Age,Ind > 54,0.5274042421812029
Party Race,Dem White,0.06829359581974435
Party Race,Dem Hispanic,0.03056673842589527
Party Race,Dem Black,0.01783646609723956
Party Race,Dem Other,0.0413483541723656
Party Race,Rep White,0.9520060999240829
Party Race,Rep Hispanic,0.862313936813823
Party Race,Rep Black,0.8131443752990595
Party Race,Rep Other,0.9142443658634327
Party Race,Ind White,0.5360015168825587
Party Race,Ind Hispanic,0.3101203942494238
Party Race,Ind Black,0.22865072952324011
Party Race,Ind Other,0.4015043561097635
Party Education,Dem No Bachelors,0.06327975004298628
Party Education,Dem Bachelors,0.04593384425012449
Party Education,Rep No Bachelors,0.9528532648063746
Party Education,Rep Bachelors,0.9310150183146177
Party Education,Ind No Bachelors,0.5496095664458787
Party Education,Ind Bachelors,0.4559484777761391
Party Urbanicity,Dem R1,0.09443016315230533
Party Urbanicity,Dem R2,0.07052871047852417
Party Urbanicity,Dem S3,0.06603145968889755
Party Urbanicity,Dem S4,0.04828361908749043
Party Urbanicity,Dem U5,0.04593756231795643
Party Urbanicity,Dem U6,0.034251748239652297
Party Urbanicity,Rep R1,0.9641837367671937
Party Urbanicity,Rep R2,0.9494466758571893
Party Urbanicity,Rep S3,0.9462480347044399
Party Urbanicity,Rep S4,0.927246620615328
Party Urbanicity,Rep U5,0.9213212787393342
Party Urbanicity,Rep U6,0.9008969675251225
Party Urbanicity,Ind R1,0.6075296731620864
Party Urbanicity,Ind R2,0.5273748136968651
Party Urbanicity,Ind S3,0.5167611938491296
Party Urbanicity,Ind S4,0.4465607084101757
Party Urbanicity,Ind U5,0.4418414905806628
Party Urbanicity,Ind U6,0.3810639312359178
Party Married,Dem Unmarried,0.046418363010470344
Party Married,Dem Married,0.06934856457671584
Party Married,Rep Unmarried,0.9302885151134395
Party Married,Rep Married,0.9505050639575059
Party Married,Ind Unmarried,0.4710277020067553
Party Married,Ind Married,0.5453980100357863
Gender Age,Male 18 - 24,0.42203248227573265
Gender Age,Male 25 - 34,0.41321895517798013
Gender Age,Male 35 - 44,0.46333589540129844
Gender Age,Male 45 - 54,0.5468346084422315
Gender Age,Male > 54,0.5575156500243159
Gender Age,Female 18 - 24,0.291193618825727
Gender Age,Female 25 - 34,0.2959104534303735
