Demographic_Type,Demographic,Vote_R
National,National,0.4611722690886722
Party,Dem,0.0552058089037345
Party,Rep,0.9423812702526527
Party,Ind,0.5078565523577765
Gender,Male,0.5234438065347315
Gender,Female,0.40478299587351824
Age,18 - 24,0.35796239406463853
Age,25 - 34,0.35191872344240693
Age,35 - 44,0.39776488372948476
Age,45 - 54,0.48257322614482356
Age,> 54,0.4954665848402872
Race,White,0.5274938638482625
Race,Hispanic,0.22348439320120478
Race,Black,0.15141565846307922
Race,Other,0.30112911256625424
Education,No Bachelors,0.4774727507671985
Education,Bachelors,0.4427203999391633
Urbanicity,R1,0.6698169781867406
Urbanicity,R2,0.5919762611509938
Urbanicity,S3,0.5270670254853479
Urbanicity,S4,0.41916486774710776
Urbanicity,U5,0.30270746420692596
Urbanicity,U6,0.1520468994025468
Married,Unmarried,0.3609024441112536
Married,Married,0.5684130876253967
Party Gender,Dem Male,0.06633614523261544
Party Gender,Dem Female,0.04724601461028466
Party Gender,Rep Male,0.9504842641787349
Party Gender,Rep Female,0.9328859176629976
Party Gender,Ind Male,0.5396398111990146
Party Gender,Ind Female,0.47652146550319263
Party Age,Dem 18 - 24,0.0398092244642955
Party Age,Dem 25 - 34,0.05228062328366559
Party Age,Dem 35 - 44,0.04439572388430384
Party Age,Dem 45 - 54,0.0560963464630531
Party Age,Dem > 54,0.05996619857774603
Party Age,Rep 18 - 24,0.9207773469894999
Party Age,Rep 25 - 34,0.9376846520254497
Party Age,Rep 35 - 44,0.931205592868619
Party Age,Rep 45 - 54,0.9448661411500194
Party Age,Rep > 54,0.9452909654143414
Party Age,Ind 18 - 24,0.4315856740757383
Party Age,Ind 25 - 34,0.49867711049204666
Party Age,Ind 35 - 44,0.45972427429506874
Party Age,Ind 45 - 54,0.5125473260405968
Party Age,Ind > 54,0.5268209055405585
Party Race,Dem White,0.06860637512665503
Party Race,Dem Hispanic,0.030540408200453083
Party Race,Dem Black,0.017724458011753232
Party Race,Dem Other,0.041351771904829915
Party Race,Rep White,0.9518457433414745
Party Race,Rep Hispanic,0.8617363315152877
Party Race,Rep Black,0.8126762363550905
Party Race,Rep Other,0.9134063693056745
Party Race,Ind White,0.535317038474915
Party Race,Ind Hispanic,0.30850644373558006
Party Race,Ind Black,0.22743952942025783
Party Race,Ind Other,0.39903442859866856
Party Education,Dem No Bachelors,0.06352224385363102
Party Education,Dem Bachelors,0.04607449054568708
Party Education,Rep No Bachelors,0.9527114524679661
Party Education,Rep Bachelors,0.9307368453011725
Party Education,Ind No Bachelors,0.5489653684551647
Party Education,Ind Bachelors,0.45491793214582893
Party Urbanicity,Dem R1,0.09489951215167941
Party Urbanicity,Dem R2,0.0704243994485287
Party Urbanicity,Dem S3,0.0663951334563634
Party Urbanicity,Dem S4,0.04857315866348167
Party Urbanicity,Dem U5,0.046084228146639795
Party Urbanicity,Dem U6,0.034220392831203435
Party Urbanicity,Rep R1,0.9640944103265001
Party Urbanicity,Rep R2,0.9489843086797423
Party Urbanicity,Rep S3,0.9461123312354726
Party Urbanicity,Rep S4,0.9271589615765202
Party Urbanicity,Rep U5,0.9210500022397206
Party Urbanicity,Rep U6,0.9004308052803583
Party Urbanicity,Ind R1,0.6071155826653541
Party Urbanicity,Ind R2,0.5252089938302518
Party Urbanicity,Ind S3,0.5162760967269677
Party Urbanicity,Ind S4,0.4462856276635663
Party Urbanicity,Ind U5,0.4408439074014285
Party Urbanicity,Ind U6,0.37961193023928663
Party Married,Dem Unmarried,0.04653756249262763
Party Married,Dem Married,0.06966721811201212
Party Married,Rep Unmarried,0.9299601476206213
Party Married,Rep Married,0.9503779838354013
Party Married,Ind Unmarried,0.4698711503756072
Party Married,Ind Married,0.5449200790351026
Gender Age,Male 18 - 24,0.42233933938234797
Gender Age,Male 25 - 34,0.41291160701226987
Gender Age,Male 35 - 44,0.4624704687920428
Gender Age,Male 45 - 54,0.5465388517321005
Gender Age,Male > 54,0.5572115131613297
Gender Age,Female 18 - 24,0.2919745777429549
Gender Age,Female 25 - 34,0.2961067325553028
Gender Age,Female 35 - 44,0.3405426751985749
Gender Age,Female 45 - 54,0.42377582126074603
Gender Age,Female > 54,0.44010281650508853
Gender Race,Male White,0.5874385878177695
Gender Race,Male Hispanic,0.24824851444648627
Gender Race,Male Black,0.1982314023261959
Gender Race,Male Other,0.3446885449627436
Gender Race,Female White,0.47075106455049237
Gender Race,Female Hispanic,0.2031589617255552
Gender Race,Female Black,0.11878386950693363
Gender Race,Female Other,0.265163526875136
Gender Education,Male No Bachelors,0.5405623181514762
Gender Education,Male Bachelors,0.5037721831407252
Gender Education,Female No Bachelors,0.4195698902648427
Gender Education,Female Bachelors,0.3882707885961899
Gender Urbanicity,Male R1,0.7310267395303783
Gender Urbanicity,Male R2,0.6555525700616945
Gender Urbanicity,Male S3,0.5944103815679392
Gender Urbanicity,Male S4,0.4844793642860639
Gender Urbanicity,Male U5,0.354584727265306
Gender Urbanicity,Male U6,0.18318481425778002
Gender Urbanicity,Female R1,0.6112073483438735
Gender Urbanicity,Female R2,0.5327384519987627
Gender Urbanicity,Female S3,0.46554455211119405
Gender Urbanicity,Female S4,0.36101438571257966
Gender Urbanicity,Female U5,0.25717321452736686
Gender Urbanicity,Female U6,0.12561495871459105
Gender Married,Male Unmarried,0.4300072052280942
Gender Married,Male Married,0.6116214815748879
Gender Married,Female Unmarried,0.3051667426060127
Gender Married,Female Married,0.5241600810603706
Age Race,18 - 24 White,0.4401836745287349
Age Race,18 - 24 Hispanic,0.1270996527262025
Age Race,18 - 24 Black,0.10399982162718688
Age Race,18 - 24 Other,0.20003888059813194
Age Race,25 - 34 White,0.42258548128610357
Age Race,25 - 34 Hispanic,0.15293126723220096
Age Race,25 - 34 Black,0.10753397655134943
Age Race,25 - 34 Other,0.2062768620750673
Age Race,35 - 44 White,0.46947470549790626
Age Race,35 - 44 Hispanic,0.1807947305742188
Age Race,35 - 44 Black,0.1201041625432218
Age Race,35 - 44 Other,0.24097640600369805
Age Race,45 - 54 White,0.5578306797782256
Age Race,45 - 54 Hispanic,0.23916599970468397
Age Race,45 - 54 Black,0.1562427107446553
Age Race,45 - 54 Other,0.31522709021923445
Age Race,> 54 White,0.5532159337019377
Age Race,> 54 Hispanic,0.263197190449199
Age Race,> 54 Black,0.17295893832888704
Age Race,> 54 Other,0.34258362813519944
Age Education,18 - 24 No Bachelors,0.3654843561225764
Age Education,18 - 24 Bachelors,0.33471657419458606
Age Education,25 - 34 No Bachelors,0.3644133432256028
Age Education,25 - 34 Bachelors,0.3407642573357062
Age Education,35 - 44 No Bachelors,0.4132522524229976
Age Education,35 - 44 Bachelors,0.38632321602024616
Age Education,45 - 54 No Bachelors,0.49451445429124025
Age Education,45 - 54 Bachelors,0.471632454309481
Age Education,> 54 No Bachelors,0.5111132914672326
Age Education,> 54 Bachelors,0.475008082416455
Age Urbanicity,18 - 24 R1,0.6217071767062688
Age Urbanicity,18 - 24 R2,0.50753643998645
Age Urbanicity,18 - 24 S3,0.41881172365154445
Age Urbanicity,18 - 24 S4,0.3116673889135527
Age Urbanicity,18 - 24 U5,0.2030637608608219
Age Urbanicity,18 - 24 U6,0.0873017540355276
Age Urbanicity,25 - 34 R1,0.6327961157242733
Age Urbanicity,25 - 34 R2,0.5256239766965894
Age Urbanicity,25 - 34 S3,0.4309406854504371
Age Urbanicity,25 - 34 S4,0.3175140147600611
Age Urbanicity,25 - 34 U5,0.20901109405208357
Age Urbanicity,25 - 34 U6,0.10472855109867832
Age Urbanicity,35 - 44 R1,0.6633832973901657
Age Urbanicity,35 - 44 R2,0.5643344178492666
Age Urbanicity,35 - 44 S3,0.4717847164138955
Age Urbanicity,35 - 44 S4,0.3505584830043106
Age Urbanicity,35 - 44 U5,0.22421178236530123
Age Urbanicity,35 - 44 U6,0.10652811101192143
Age Urbanicity,45 - 54 R1,0.7053235362199087
Age Urbanicity,45 - 54 R2,0.6302311317923548
Age Urbanicity,45 - 54 S3,0.5566072122972794
