Demographic_Type,Demographic,Vote_R
National,National,0.4615320230890391
Party,Dem,0.07026933354404886
Party,Rep,0.9230434450719636
Party,Ind,0.5135314088526014
Gender,Male,0.5210489512417021
Gender,Female,0.4076371545797409
Age,18 - 24,0.361993475467334
Age,25 - 34,0.3583242264998189
Age,35 - 44,0.4017552845336325
Age,45 - 54,0.4823158134516266
Age,> 54,0.49386758852236606
Race,White,0.5263845706148935
Race,Hispanic,0.22736274756775338
Race,Black,0.16027659119022875
Race,Other,0.3042343058629546
Education,No Bachelors,0.47709221158214626
Education,Bachelors,0.4439181532857471
Urbanicity,R1,0.6575407831807288
Urbanicity,R2,0.5898359903197209
Urbanicity,S3,0.5266897375526539
Urbanicity,S4,0.42293782215105963
Urbanicity,U5,0.30735534946404275
Urbanicity,U6,0.16560820445108598
Married,Unmarried,0.36482347696160095
Married,Married,0.5649639743120384
Party Gender,Dem Male,0.08067357391420218
Party Gender,Dem Female,0.062828802487396307
Party Gender,Rep Male,0.9316768589599675
Party Gender,Rep Female,0.9129265290694535
Party Gender,Ind Male,0.5392730263295249
Party Gender,Ind Female,0.48815277088957715
Party Age,Dem 18 - 24,0.05229600862192424
Party Age,Dem 25 - 34,0.06730843019754267
Party Age,Dem 35 - 44,0.05926468626070894
Party Age,Dem 45 - 54,0.0709363393850192
Party Age,Dem > 54,0.07539368717994036
Party Age,Rep 18 - 24,0.9045497040682037
Party Age,Rep 25 - 34,0.9219885601664364
Party Age,Rep 35 - 44,0.9127637460772366
Party Age,Rep 45 - 54,0.9258777971181585
Party Age,Rep > 54,0.9251233637422338
Party Age,Ind 18 - 24,0.44447102045033005
Party Age,Ind 25 - 34,0.5124765915694406
Party Age,Ind 35 - 44,0.47665822729397184
Party Age,Ind 45 - 54,0.5187503036306931
Party Age,Ind > 54,0.5273914265984162
Party Race,Dem White,0.08617687193536072
Party Race,Dem Hispanic,0.03833820052274087
Party Race,Dem Black,0.027569892966321886
Party Race,Dem Other,0.05365668399430143
Party Race,Rep White,0.932029235544313
Party Race,Rep Hispanic,0.8451595867111925
Party Race,Rep Black,0.8057290436952524
Party Race,Rep Other,0.8895902296959116
Party Race,Ind White,0.5384184304124086
Party Race,Ind Hispanic,0.3290854684232571
Party Race,Ind Black,0.2671569338320854
Party Race,Ind Other,0.4111183434184361
Party Education,Dem No Bachelors,0.0783929613161129
Party Education,Dem Bachelors,0.06134971451788008
Party Education,Rep No Bachelors,0.9342985825885765
Party Education,Rep Bachelors,0.9103563886968585
Party Education,Ind No Bachelors,0.5474713742116601
Party Education,Ind Bachelors,0.46982460562350004
Party Urbanicity,Dem R1,0.10490066153503554
Party Urbanicity,Dem R2,0.08787386158999237
Party Urbanicity,Dem S3,0.08330850136616567
Party Urbanicity,Dem S4,0.06462127060879476
Party Urbanicity,Dem U5,0.0597033226995861
Party Urbanicity,Dem U6,0.05079995777846615
Party Urbanicity,Rep R1,0.9439989789387913
Party Urbanicity,Rep R2,0.930741697273178
Party Urbanicity,Rep S3,0.9271026896142255
Party Urbanicity,Rep S4,0.907905845515878
Party Urbanicity,Rep U5,0.9000517083080303
Party Urbanicity,Rep U6,0.8871134964555271
Party Urbanicity,Ind R1,0.5854253097063027
Party Urbanicity,Ind R2,0.5348308866730515
Party Urbanicity,Ind S3,0.5249143829209229
Party Urbanicity,Ind S4,0.4662290625354521
Party Urbanicity,Ind U5,0.4525095226749739
Party Urbanicity,Ind U6,0.41864980256235795
Party Married,Dem Unmarried,0.06129645388028352
Party Married,Dem Married,0.08523896851290225
Party Married,Rep Unmarried,0.909802657655099
Party Married,Rep Married,0.9315678585021697
Party Married,Ind Unmarried,0.4809586409595065
Party Married,Ind Married,0.5453136617382436
Gender Age,Male 18 - 24,0.4237328909110526
Gender Age,Male 25 - 34,0.416737821480977
Gender Age,Male 35 - 44,0.46399916805422575
Gender Age,Male 45 - 54,0.5433901036644112
Gender Age,Male > 54,0.5527727556827161
Gender Age,Female 18 - 24,0.2987091865654265
Gender Age,Female 25 - 34,0.3048724327829816
Gender Age,Female 35 - 44,0.3467100750799892
Gender Age,Female 45 - 54,0.42617613316742375
Gender Age,Female > 54,0.4410501002348242
Gender Race,Male White,0.5833761607215288
Gender Race,Male Hispanic,0.2512945208919943
Gender Race,Male Black,0.20588221091782027
Gender Race,Male Other,0.3465757588206025
Gender Race,Female White,0.47243716465592045
Gender Race,Female Hispanic,0.2077204750245546
Gender Race,Female Black,0.12848829017516242
Gender Race,Female Other,0.26927436559620604
Gender Education,Male No Bachelors,0.5373690932899515
Gender Education,Male Bachelors,0.5022947689098796
Gender Education,Female No Bachelors,0.42177080080458823
Gender Education,Female Bachelors,0.3918544154951884
Gender Urbanicity,Male R1,0.7169921904111869
Gender Urbanicity,Male R2,0.6504948832864527
Gender Urbanicity,Male S3,0.5909213866141186
Gender Urbanicity,Male S4,0.4850734525435558
Gender Urbanicity,Male U5,0.3562374319487388
Gender Urbanicity,Male U6,0.19685108553282
Gender Urbanicity,Female R1,0.6006148142678168
Gender Urbanicity,Female R2,0.5333165102411273
Gender Urbanicity,Female S3,0.4680100080435468
Gender Urbanicity,Female S4,0.3676175326240958
Gender Urbanicity,Female U5,0.26445006075962246
Gender Urbanicity,Female U6,0.13908716142323344
Gender Married,Male Unmarried,0.4309532823825605
Gender Married,Male Married,0.6060737327522705
Gender Married,Female Unmarried,0.3114871939620777
Gender Married,Female Married,0.5228603401832432
Age Race,18 - 24 White,0.442412505043151
Age Race,18 - 24 Hispanic,0.13633969439900012
Age Race,18 - 24 Black,0.11392139646599017
Age Race,18 - 24 Other,0.2065288455778344
Age Race,25 - 34 White,0.42802160575549625
Age Race,25 - 34 Hispanic,0.16005375441857303
Age Race,25 - 34 Black,0.11868927192843547
Age Race,25 - 34 Other,0.21516884973831527
Age Race,35 - 44 White,0.47253951338233907
Age Race,35 - 44 Hispanic,0.1862403528445946
Age Race,35 - 44 Black,0.12925492751585926
Age Race,35 - 44 Other,0.24575927492527455
Age Race,45 - 54 White,0.5558460493706178
Age Race,45 - 54 Hispanic,0.24314295022062585
Age Race,45 - 54 Black,0.1645591045252836
Age Race,45 - 54 Other,0.31863550179877825
Age Race,> 54 White,0.5502099614927674
Age Race,> 54 Hispanic,0.26492414023336525
Age Race,> 54 Black,0.18132135619690756
Age Race,> 54 Other,0.3435433695579488
Age Education,18 - 24 No Bachelors,0.369165799444898
Age Education,18 - 24 Bachelors,0.33982817471895216
Age Education,25 - 34 No Bachelors,0.37024677661316974
Age Education,25 - 34 Bachelors,0.3476804707511508
Age Education,35 - 44 No Bachelors,0.4163557404692471
Age Education,35 - 44 Bachelors,0.3909688450470686
Age Education,45 - 54 No Bachelors,0.49368434708621695
Age Education,45 - 54 Bachelors,0.4718997548123152
Age Education,> 54 No Bachelors,0.5089629433710167
Age Education,> 54 Bachelors,0.47412999382445764
Age Urbanicity,18 - 24 R1,0.6095460638243241
Age Urbanicity,18 - 24 R2,0.5094187844555824
Age Urbanicity,18 - 24 S3,0.4213027528235381
Age Urbanicity,18 - 24 S4,0.31996179447970197
Age Urbanicity,18 - 24 U5,0.21102348243848135
Age Urbanicity,18 - 24 U6,0.10262138252856837
Age Urbanicity,25 - 34 R1,0.6245932105977814
Age Urbanicity,25 - 34 R2,0.5286066370666246
Age Urbanicity,25 - 34 S3,0.43592431493292055
Age Urbanicity,25 - 34 S4,0.3279154104604538
Age Urbanicity,25 - 34 U5,0.21852616264652427
Age Urbanicity,25 - 34 U6,0.11910637190399946
Age Urbanicity,35 - 44 R1,0.6514309318125152
Age Urbanicity,35 - 44 R2,0.5644341672436524
Age Urbanicity,35 - 44 S3,0.4754711496996971
Age Urbanicity,35 - 44 S4,0.35809385779461494
Age Urbanicity,35 - 44 U5,0.23349030157774733
Age Urbanicity,35 - 44 U6,0.12165858259125983
Age Urbanicity,45 - 54 R1,0.6929265162282382
Age Urbanicity,45 - 54 R2,0.6269380470621315
Age Urbanicity,45 - 54 S3,0.5554996294450933
Age Urbanicity,45 - 54 S4,0.4445553378923339
Age Urbanicity,45 - 54 U5,0.31432970776257685
Age Urbanicity,45 - 54 U6,0.16586374780520088
Age Urbanicity,> 54 R1,0.6555250237393215
Age Urbanicity,> 54 R2,0.5977338201005263
Age Urbanicity,> 54 S3,0.550783052027078
Age Urbanicity,> 54 S4,0.45710093415261743
Age Urbanicity,> 54 U5,0.35126709617117735
Age Urbanicity,> 54 U6,0.19826737982256257
Age Married,18 - 24 Unmarried,0.2711404050560811
Age Married,18 - 24 Married,0.47659704695416666
Age Married,25 - 34 Unmarried,0.28566128838679816
Age Married,25 - 34 Married,0.48621017863188204
Age Married,35 - 44 Unmarried,0.30970564075352125
Age Married,35 - 44 Married,0.526144998241895
Age Married,45 - 54 Unmarried,0.37789379564144787
Age Married,45 - 54 Married,0.5968272302777919
Age Married,> 54 Unmarried,0.4018853353639228
Age Married,> 54 Married,0.5779495709465132
Race Education,White No Bachelors,0.5539668351978191
Race Education,White Bachelors,0.49655050609484985
Race Education,Hispanic No Bachelors,0.22449355189734554
Race Education,Hispanic Bachelors,0.23187739641500732
Race Education,Black No Bachelors,0.1586112991585127
Race Education,Black Bachelors,0.16265918994026346
Race Education,Other No Bachelors,0.3190113674813442
