Demographic_Type,Demographic,Vote_R
National,National,0.4685584278400023
Party,Dem,0.06775317554373463
Party,Rep,0.9365814525922076
Party,Ind,0.5364775340748451
Gender,Male,0.5292147964941671
Gender,Female,0.4136317521136869
Age,18 - 24,0.38100123679003073
Age,25 - 34,0.35625210295396087
Age,35 - 44,0.39690848854724314
Age,45 - 54,0.48032016889754486
Age,> 54,0.5072366305797872
Race,White,0.5341284190477549
Race,Hispanic,0.2286602787069538
Race,Black,0.1624185502138786
Race,Other,0.3177529522417623
Education,No Bachelors,0.48176403165903975
Education,Bachelors,0.4536099080039206
Urbanicity,R1,0.6773604099272503
Urbanicity,R2,0.6059928386909803
Urbanicity,S3,0.5114130261445927
Urbanicity,S4,0.4330720534066085
Urbanicity,U5,0.3126800012773701
Urbanicity,U6,0.16860922445091742
Married,Unmarried,0.36739917413442147
Married,Married,0.5767505102775033
Party Gender,Dem Male,0.07934341073301633
Party Gender,Dem Female,0.05946448729628238
Party Gender,Rep Male,0.9442520638348892
Party Gender,Rep Female,0.9275927801346127
Party Gender,Ind Male,0.5627517953301251
Party Gender,Ind Female,0.5105737630806007
Party Age,Dem 18 - 24,0.06240146099854453
Party Age,Dem 25 - 34,0.06010400552524703
Party Age,Dem 35 - 44,0.049122571264567746
Party Age,Dem 45 - 54,0.06316890173137116
Party Age,Dem > 54,0.07662218377831828
Party Age,Rep 18 - 24,0.9240233712924387
Party Age,Rep 25 - 34,0.9280959610520646
Party Age,Rep 35 - 44,0.919059600621384
Party Age,Rep 45 - 54,0.9310776690705851
Party Age,Rep > 54,0.9430735594948605
Party Age,Ind 18 - 24,0.49670874922787367
Party Age,Ind 25 - 34,0.5170232628967446
Party Age,Ind 35 - 44,0.4649589630395484
Party Age,Ind 45 - 54,0.5141747758242985
Party Age,Ind > 54,0.56914959275856
Party Race,Dem White,0.08339675421176652
Party Race,Dem Hispanic,0.03442602246262602
Party Race,Dem Black,0.02515644758842882
Party Race,Dem Other,0.05638172436484934
Party Race,Rep White,0.944569095370153
Party Race,Rep Hispanic,0.8631661272766409
Party Race,Rep Black,0.8287332548771168
Party Race,Rep Other,0.9167407264257766
Party Race,Ind White,0.5619394136427756
