Demographic_Type,Demographic,Vote_R
National,National,0.46875815842261104
Party,Dem,0.07712491286405179
Party,Rep,0.9263956009661856
Party,Ind,0.5279654135975076
Gender,Male,0.5234644926918416
Gender,Female,0.4192478020629597
Age,18 - 24,0.38465127146134104
Age,25 - 34,0.3560384079622554
Age,35 - 44,0.39933006039724767
Age,45 - 54,0.48134900613229503
Age,> 54,0.5066574363006978
Race,White,0.5340169138440192
Race,Hispanic,0.23280666046756573
Race,Black,0.16523734098896367
Race,Other,0.3171715461083461
Education,No Bachelors,0.4810200883380461
Education,Bachelors,0.4548602713255362
Urbanicity,R1,0.6760819227372488
Urbanicity,R2,0.6025868330463957
Urbanicity,S3,0.5145013084433291
Urbanicity,S4,0.4361209934331421
Urbanicity,U5,0.31306280431237815
Urbanicity,U6,0.17416715670830307
Married,Unmarried,0.36894634871402154
Married,Married,0.5748956530195268
Party Gender,Dem Male,0.08441420632871234
Party Gender,Dem Female,0.07191591686354008
Party Gender,Rep Male,0.9314930525844884
Party Gender,Rep Female,0.920432726022217
Party Gender,Ind Male,0.5406708737055212
Party Gender,Ind Female,0.5154352478214476
Party Age,Dem 18 - 24,0.06728596460480823
Party Age,Dem 25 - 34,0.06657881284113602
Party Age,Dem 35 - 44,0.05905176986394957
Party Age,Dem 45 - 54,0.07166855135801047
Party Age,Dem > 54,0.08722073368680705
Party Age,Rep 18 - 24,0.9214852695613411
Party Age,Rep 25 - 34,0.917661922559508
Party Age,Rep 35 - 44,0.9084106762413444
Party Age,Rep 45 - 54,0.9230387002711646
Party Age,Rep > 54,0.9319770078879733
Party Age,Ind 18 - 24,0.5009999453172327
Party Age,Ind 25 - 34,0.5005017950229277
Party Age,Ind 35 - 44,0.4659131612622691
Party Age,Ind 45 - 54,0.5119272856164617
Party Age,Ind > 54,0.5566423683454504
Party Race,Dem White,0.09430468568286166
Party Race,Dem Hispanic,0.041510408867603106
Party Race,Dem Black,0.030561824474759525
Party Race,Dem Other,0.06354652355686354
Party Race,Rep White,0.9348740777839635
Party Race,Rep Hispanic,0.8510051893521338
Party Race,Rep Black,0.8132488627467297
Party Race,Rep Other,0.902496060645885
Party Race,Ind White,0.5527934407119526
Party Race,Ind Hispanic,0.33717781070962694
Party Race,Ind Black,0.27903281979446415
Party Race,Ind Other,0.44442231289991074
Party Education,Dem No Bachelors,0.08339374192091528
Party Education,Dem Bachelors,0.07021746192090254
Party Education,Rep No Bachelors,0.9349174420796595
Party Education,Rep Bachelors,0.9167979457770039
Party Education,Ind No Bachelors,0.5544483889708024
Party Education,Ind Bachelors,0.4938746473429738
Party Urbanicity,Dem R1,0.1264265537295931
Party Urbanicity,Dem R2,0.10117121650363572
Party Urbanicity,Dem S3,0.07507263218230102
Party Urbanicity,Dem S4,0.07359954886727305
Party Urbanicity,Dem U5,0.0656719191265529
Party Urbanicity,Dem U6,0.056429170907124314
Party Urbanicity,Rep R1,0.9513735449525922
Party Urbanicity,Rep R2,0.9369125309133074
Party Urbanicity,Rep S3,0.9152439972006629
Party Urbanicity,Rep S4,0.9156487809072413
Party Urbanicity,Rep U5,0.9060225122864182
Party Urbanicity,Rep U6,0.8952550710223541
Party Urbanicity,Ind R1,0.6261606086978708
Party Urbanicity,Ind R2,0.5621699790963289
