Demographic_Type,Demographic,Vote_R
National,National,0.4676426947284068
Party,Dem,0.06638628914831537
Party,Rep,0.9353092804072228
Party,Ind,0.5320837402153199
Gender,Male,0.527588153381008
Gender,Female,0.413390823173154
Age,18 - 24,0.3827498260917087
Age,25 - 34,0.3559696682182139
Age,35 - 44,0.39640597983353926
Age,45 - 54,0.4801257425607945
Age,> 54,0.5058818532824171
Race,White,0.5336332942508591
Race,Hispanic,0.22914585426074252
Race,Black,0.1617581748188628
Race,Other,0.311927764424902
Education,No Bachelors,0.48016778924211717
Education,Bachelors,0.45344653224564646
Urbanicity,R1,0.677614734861201
Urbanicity,R2,0.6046862234120216
Urbanicity,S3,0.5139527409644807
Urbanicity,S4,0.4329358398130552
Urbanicity,U5,0.3105827668801327
Urbanicity,U6,0.16957117393687401
Married,Unmarried,0.3659295618724789
Married,Married,0.5758020109501065
Party Gender,Dem Male,0.07732063589844568
Party Gender,Dem Female,0.05857250462094358
Party Gender,Rep Male,0.9426891124560377
Party Gender,Rep Female,0.9266765323382524
Party Gender,Ind Male,0.556546942787812
Party Gender,Ind Female,0.5079580508628084
Party Age,Dem 18 - 24,0.06271005621088564
Party Age,Dem 25 - 34,0.0591997473681625
Party Age,Dem 35 - 44,0.04837083853083647
Party Age,Dem 45 - 54,0.06236629277460156
Party Age,Dem > 54,0.07467976205677368
Party Age,Rep 18 - 24,0.9245962597516408
Party Age,Rep 25 - 34,0.927066436854659
Party Age,Rep 35 - 44,0.9179933091159309
Party Age,Rep 45 - 54,0.9302930089602445
Party Age,Rep > 54,0.9415130972039578
Party Age,Ind 18 - 24,0.49907897377200255
Party Age,Ind 25 - 34,0.5145558779005601
Party Age,Ind 35 - 44,0.4622712438011535
Party Age,Ind 45 - 54,0.5120496593510011
Party Age,Ind > 54,0.5629174260357034
Party Race,Dem White,0.08203304748089568
Party Race,Dem Hispanic,0.03398380102458682
Party Race,Dem Black,0.02447894289096129
Party Race,Dem Other,0.05260806674126258
Party Race,Rep White,0.9436320995286513
Party Race,Rep Hispanic,0.8615291084512864
Party Race,Rep Black,0.8245088125129171
Party Race,Rep Other,0.9112000427613436
Party Race,Ind White,0.5583147237588707
Party Race,Ind Hispanic,0.3314651610589813
Party Race,Ind Black,0.27137918226702645
Party Race,Ind Other,0.4401202226185627
Party Education,Dem No Bachelors,0.07256442528971992
Party Education,Dem Bachelors,0.05957877024330936
Party Education,Rep No Bachelors,0.9435695176578287
Party Education,Rep Bachelors,0.9260062544699285
Party Education,Ind No Bachelors,0.5609512160843969
Party Education,Ind Bachelors,0.49492347561742756
Party Urbanicity,Dem R1,0.11152578679030008
Party Urbanicity,Dem R2,0.08900021648212096
Party Urbanicity,Dem S3,0.06339745004488961
Party Urbanicity,Dem S4,0.06184132904734807
Party Urbanicity,Dem U5,0.05669355620734127
Party Urbanicity,Dem U6,0.04886141293927919
Party Urbanicity,Rep R1,0.9587967779543425
Party Urbanicity,Rep R2,0.9460833920182667
Party Urbanicity,Rep S3,0.9242707006545592
Party Urbanicity,Rep S4,0.9240004134123774
Party Urbanicity,Rep U5,0.9172368968256629
Party Urbanicity,Rep U6,0.9073985042385536
Party Urbanicity,Ind R1,0.6340518520062403
Party Urbanicity,Ind R2,0.571587267592671
Party Urbanicity,Ind S3,0.48723761699026
Party Urbanicity,Ind S4,0.48801647106719054
Party Urbanicity,Ind U5,0.4757035477096556
Party Urbanicity,Ind U6,0.44663030343906907
Party Married,Dem Unmarried,0.055260448628557696
Party Married,Dem Married,0.08482917264092502
Party Married,Rep Unmarried,0.9202020792163534
Party Married,Rep Married,0.9449940852956126
Party Married,Ind Unmarried,0.48782013132285496
Party Married,Ind Married,0.5751253604364301
Gender Age,Male 18 - 24,0.4379170125158851
Gender Age,Male 25 - 34,0.4086276512907961
Gender Age,Male 35 - 44,0.45501440099321194
Gender Age,Male 45 - 54,0.5363248447690989
Gender Age,Male > 54,0.5694445041290331
Gender Age,Female 18 - 24,0.32621249165811456
Gender Age,Female 25 - 34,0.3077906159019664
Gender Age,Female 35 - 44,0.3446497262331411
Gender Age,Female 45 - 54,0.42849027449541954
Gender Age,Female > 54,0.44892309084699333
Gender Race,Male White,0.5909936271228947
Gender Race,Male Hispanic,0.2524588263698107
Gender Race,Male Black,0.20832274515939436
Gender Race,Male Other,0.3547572995512859
Gender Race,Female White,0.47937160304079945
Gender Race,Female Hispanic,0.20996730750817177
Gender Race,Female Black,0.12930862241463423
Gender Race,Female Other,0.2765899157079239
Gender Education,Male No Bachelors,0.5410516692242233
Gender Education,Male Bachelors,0.5121015605871188
Gender Education,Female No Bachelors,0.42433649373514926
Gender Education,Female Bachelors,0.40114921244469975
Gender Urbanicity,Male R1,0.736397555776824
Gender Urbanicity,Male R2,0.6656731992232369
Gender Urbanicity,Male S3,0.5785652410337931
Gender Urbanicity,Male S4,0.49602312162248074
Gender Urbanicity,Male U5,0.3601658036847455
Gender Urbanicity,Male U6,0.20190556072708502
Gender Urbanicity,Female R1,0.6214231227175349
Gender Urbanicity,Female R2,0.5479385296141841
Gender Urbanicity,Female S3,0.45493903020171894
Gender Urbanicity,Female S4,0.3767779228511894
Gender Urbanicity,Female U5,0.2670809482375338
Gender Urbanicity,Female U6,0.1420060586407051
Gender Married,Male Unmarried,0.4321035351824199
Gender Married,Male Married,0.6170717179646027
Gender Married,Female Unmarried,0.3126644184606575
Gender Married,Female Married,0.5335252603631081
Age Race,18 - 24 White,0.4657027859964311
