Demographic_Type,Demographic,Vote_R
National,National,0.4621169282319678
Party,Dem,0.07028666111298697
Party,Rep,0.9225679836147603
Party,Ind,0.5195339592623717
Gender,Male,0.5259920400427099
Gender,Female,0.40427555672794063
Age,18 - 24,0.37679761563891745
Age,25 - 34,0.35399266083166037
Age,35 - 44,0.4055211209486374
Age,45 - 54,0.4856400310517118
Age,> 54,0.49265303044765935
Race,White,0.5291027974229061
Race,Hispanic,0.23478598319924468
Race,Black,0.12568184554946912
Race,Other,0.3312635884469943
Education,No Bachelors,0.47638156652954666
Education,Bachelors,0.4459695993049494
Urbanicity,R1,0.653851162180621
Urbanicity,R2,0.5558838940544248
Urbanicity,S3,0.5256074952944633
Urbanicity,S4,0.44290380335078444
Urbanicity,U5,0.30558790810840003
Urbanicity,U6,0.20082072538679827
Married,Unmarried,0.3584577088838744
Married,Married,0.5729827797907084
Party Gender,Dem Male,0.09343782327937175
Party Gender,Dem Female,0.05373024421293725
Party Gender,Rep Male,0.9292612984552083
Party Gender,Rep Female,0.9147245389591929
Party Gender,Ind Male,0.5441133384759457
Party Gender,Ind Female,0.4953011709779375
Party Age,Dem 18 - 24,0.07234752900766989
Party Age,Dem 25 - 34,0.08074963814630866
Party Age,Dem 35 - 44,0.0814142349344675
Party Age,Dem 45 - 54,0.08475477060994967
Party Age,Dem > 54,0.059987107714762934
Party Age,Rep 18 - 24,0.8834402876626483
Party Age,Rep 25 - 34,0.8877279330591484
Party Age,Rep 35 - 44,0.9011755043448163
Party Age,Rep 45 - 54,0.9279328918498811
Party Age,Rep > 54,0.9306906037764143
Party Age,Ind 18 - 24,0.5123773605654661
Party Age,Ind 25 - 34,0.48877675628890827
Party Age,Ind 35 - 44,0.446566101666137
Party Age,Ind 45 - 54,0.4892037661731975
Party Age,Ind > 54,0.5544312574471948
Party Race,Dem White,0.0773673151069981
Party Race,Dem Hispanic,0.07118159306379107
Party Race,Dem Black,0.02140351959251643
Party Race,Dem Other,0.11621895594427892
Party Race,Rep White,0.9420693378159131
Party Race,Rep Hispanic,0.757579666252292
Party Race,Rep Black,0.6429925260399693
Party Race,Rep Other,0.8774412768363115
Party Race,Ind White,0.5518824484677194
Party Race,Ind Hispanic,0.35216043614406317
Party Race,Ind Black,0.18058162306934847
