Demographic_Type,Demographic,Vote_R
National,National,0.4490321282453811
Party,Dem,0.06765355477693567
Party,Rep,0.9146017717516882
Party,Ind,0.4511799124341285
Gender,Male,0.504417742786466
Gender,Female,0.3988783231742957
Age,18 - 24,0.37976372780783707
Age,25 - 34,0.33658077816936294
Age,35 - 44,0.39789398032327616
Age,45 - 54,0.484762860704179
Age,> 54,0.47401030211303247
Race,White,0.5072051940491079
Race,Hispanic,0.2553834690715304
Race,Black,0.1602996917758427
Race,Other,0.32211018522259977
Education,No Bachelors,0.4581027934498098
Education,Bachelors,0.43876428888014246
Urbanicity,R1,0.6597493923024011
Urbanicity,R2,0.5741855151529092
Urbanicity,S3,0.486600572319694
Urbanicity,S4,0.39761353531518695
Urbanicity,U5,0.31715922325971796
Urbanicity,U6,0.1599300716029063
Married,Unmarried,0.35770043836896703
Married,Married,0.5467134115516469
Party Gender,Dem Male,0.07475983362615106
Party Gender,Dem Female,0.06257154142529286
Party Gender,Rep Male,0.9212134221995733
Party Gender,Rep Female,0.9068540240950915
Party Gender,Ind Male,0.46795419943296623
Party Gender,Ind Female,0.4346421576790902
Party Age,Dem 18 - 24,0.07054513431421253
Party Age,Dem 25 - 34,0.058414025406542044
Party Age,Dem 35 - 44,0.06293888172641494
Party Age,Dem 45 - 54,0.0798028351475952
Party Age,Dem > 54,0.06691375060145703
Party Age,Rep 18 - 24,0.92143499475844
Party Age,Rep 25 - 34,0.9048678142357143
Party Age,Rep 35 - 44,0.912223905346567
Party Age,Rep 45 - 54,0.9295356054161119
Party Age,Rep > 54,0.9112118890419831
Party Age,Ind 18 - 24,0.4622076191609282
Party Age,Ind 25 - 34,0.41857555610193525
Party Age,Ind 35 - 44,0.4351596641031457
Party Age,Ind 45 - 54,0.49477191859676045
Party Age,Ind > 54,0.44553117578209595
Party Race,Dem White,0.07754473366920195
Party Race,Dem Hispanic,0.057917132477151766
Party Race,Dem Black,0.029677363968752656
Party Race,Dem Other,0.07016543683213466
Party Race,Rep White,0.9203025810671107
Party Race,Rep Hispanic,0.8906090640501131
Party Race,Rep Black,0.8039117341813948
Party Race,Rep Other,0.9087246102601108
Party Race,Ind White,0.4646870438617472
Party Race,Ind Hispanic,0.38665150489364497
Party Race,Ind Black,0.24167053859594967
Party Race,Ind Other,0.43417522913809414
Party Education,Dem No Bachelors,0.07103890989600606
Party Education,Dem Bachelors,0.06393648664215014
Party Education,Rep No Bachelors,0.9213271725105173
Party Education,Rep Bachelors,0.9070207414491711
Party Education,Ind No Bachelors,0.4701411080067374
Party Education,Ind Bachelors,0.426762290462121
Party Urbanicity,Dem R1,0.11428709528112754
Party Urbanicity,Dem R2,0.08108881395180847
Party Urbanicity,Dem S3,0.061232217960911314
Party Urbanicity,Dem S4,0.05356127703578617
Party Urbanicity,Dem U5,0.07025822210324893
Party Urbanicity,Dem U6,0.047892649121960985
Party Urbanicity,Rep R1,0.948055543016529
Party Urbanicity,Rep R2,0.9233571515055955
Party Urbanicity,Rep S3,0.8991572869491012
Party Urbanicity,Rep S4,0.8870604996281396
Party Urbanicity,Rep U5,0.9127399263262653
Party Urbanicity,Rep U6,0.8769779267581486
Party Urbanicity,Ind R1,0.5701669854663401
Party Urbanicity,Ind R2,0.4710549673836429
Party Urbanicity,Ind S3,0.40065948897831616
Party Urbanicity,Ind S4,0.37369714301305057
Party Urbanicity,Ind U5,0.4481096161867006
Party Urbanicity,Ind U6,0.3542449706564225
Party Married,Dem Unmarried,0.06196864263190477
Party Married,Dem Married,0.07713780764001289
Party Married,Rep Unmarried,0.9049086204945415
Party Married,Rep Married,0.9208422184982465
Party Married,Ind Unmarried,0.43111521105652545
Party Married,Ind Married,0.47075765956789484
Gender Age,Male 18 - 24,0.4385896959758557
Gender Age,Male 25 - 34,0.3894902631483654
Gender Age,Male 35 - 44,0.4558759989251206
Gender Age,Male 45 - 54,0.5421904739929246
Gender Age,Male > 54,0.5286188295875162
Gender Age,Female 18 - 24,0.3194657878658408
Gender Age,Female 25 - 34,0.28816556116938247
Gender Age,Female 35 - 44,0.34661773954328634
Gender Age,Female 45 - 54,0.4319752173556828
Gender Age,Female > 54,0.4250454082110778
Gender Race,Male White,0.5602877943597258
Gender Race,Male Hispanic,0.27785656053513974
Gender Race,Male Black,0.20271208568302615
Gender Race,Male Other,0.3617636469758299
Gender Race,Female White,0.45695798068031634
Gender Race,Female Hispanic,0.23693842609724639
Gender Race,Female Black,0.130737152063759
Gender Race,Female Other,0.2893696305786825
Gender Education,Male No Bachelors,0.5143756193731657
Gender Education,Male Bachelors,0.4929747153549258
Gender Education,Female No Bachelors,0.4064562578242472
Gender Education,Female Bachelors,0.3904162063590529
Gender Urbanicity,Male R1,0.71527881766714
Gender Urbanicity,Male R2,0.6312826043459749
Gender Urbanicity,Male S3,0.5463074054603719
Gender Urbanicity,Male S4,0.4544175187540327
Gender Urbanicity,Male U5,0.3627910689594902
Gender Urbanicity,Male U6,0.18778238782894818
Gender Urbanicity,Female R1,0.606578803256268
Gender Urbanicity,Female R2,0.5209847784206535
Gender Urbanicity,Female S3,0.43205455225429396
Gender Urbanicity,Female S4,0.34704009153949955
Gender Urbanicity,Female U5,0.2771067661149707
Gender Urbanicity,Female U6,0.13628716635598673
Gender Married,Male Unmarried,0.4197460831913721
Gender Married,Male Married,0.5843237965221403
Gender Married,Female Unmarried,0.30765819115426635
Gender Married,Female Married,0.5081937522706751
Age Race,18 - 24 White,0.4543673537474457
Age Race,18 - 24 Hispanic,0.18280335309232695
Age Race,18 - 24 Black,0.13024907046992545
Age Race,18 - 24 Other,0.24925616088198072
Age Race,25 - 34 White,0.3974820869701095
Age Race,25 - 34 Hispanic,0.17568972153099824
Age Race,25 - 34 Black,0.11319299914901972
Age Race,25 - 34 Other,0.22122022853769124
Age Race,35 - 44 White,0.46208578943797685
Age Race,35 - 44 Hispanic,0.2174398687190319
Age Race,35 - 44 Black,0.13362243933339338
Age Race,35 - 44 Other,0.2692552939617022
Age Race,45 - 54 White,0.5520070134788752
Age Race,45 - 54 Hispanic,0.28377409470572174
Age Race,45 - 54 Black,0.1732644710881806
Age Race,45 - 54 Other,0.35059109365696045
Age Race,> 54 White,0.5242578439147167
Age Race,> 54 Hispanic,0.2876693017371154
Age Race,> 54 Black,0.17670530285466376
Age Race,> 54 Other,0.3542755466336333
Age Education,18 - 24 No Bachelors,0.3836003769903283
Age Education,18 - 24 Bachelors,0.36790697353098495
Age Education,25 - 34 No Bachelors,0.3410869407376606
Age Education,25 - 34 Bachelors,0.3325579396587457
Age Education,35 - 44 No Bachelors,0.40502799439797443
Age Education,35 - 44 Bachelors,0.39262355510831254
Age Education,45 - 54 No Bachelors,0.48933699991775303
Age Education,45 - 54 Bachelors,0.48057195061811514
Age Education,> 54 No Bachelors,0.48295622051263215
Age Education,> 54 Bachelors,0.4623132659491132
Age Urbanicity,18 - 24 R1,0.6469683103475645
Age Urbanicity,18 - 24 R2,0.5288356497924914
Age Urbanicity,18 - 24 S3,0.4145013032215032
Age Urbanicity,18 - 24 S4,0.32480315409263194
Age Urbanicity,18 - 24 U5,0.24782851872321662
Age Urbanicity,18 - 24 U6,0.11663578672036952
Age Urbanicity,25 - 34 R1,0.6154433924712687
Age Urbanicity,25 - 34 R2,0.5002746684671171
Age Urbanicity,25 - 34 S3,0.3835245190377229
Age Urbanicity,25 - 34 S4,0.29291224113367925
Age Urbanicity,25 - 34 U5,0.21875330498462195
Age Urbanicity,25 - 34 U6,0.10693635088571656
Age Urbanicity,35 - 44 R1,0.6639157908546769
Age Urbanicity,35 - 44 R2,0.5586891315719849
Age Urbanicity,35 - 44 S3,0.4444834976149844
Age Urbanicity,35 - 44 S4,0.3418590561586931
Age Urbanicity,35 - 44 U5,0.25022929905783614
Age Urbanicity,35 - 44 U6,0.12171183691546007
Age Urbanicity,45 - 54 R1,0.7102758258223945
Age Urbanicity,45 - 54 R2,0.6279494518319574
Age Urbanicity,45 - 54 S3,0.5318179768115021
Age Urbanicity,45 - 54 S4,0.4343348011751917
Age Urbanicity,45 - 54 U5,0.33921714761191074
Age Urbanicity,45 - 54 U6,0.17083853658271222
Age Urbanicity,> 54 R1,0.6510528128956486
Age Urbanicity,> 54 R2,0.5747077978229277
Age Urbanicity,> 54 S3,0.5028585218425156
Age Urbanicity,> 54 S4,0.4236680340730191
Age Urbanicity,> 54 U5,0.3541054390223197
Age Urbanicity,> 54 U6,0.187175054755062
Age Married,18 - 24 Unmarried,0.2929757423228408
Age Married,18 - 24 Married,0.48923953367444933
Age Married,25 - 34 Unmarried,0.2687327835884547
Age Married,25 - 34 Married,0.45599248395167685
Age Married,35 - 44 Unmarried,0.31026766141217704
Age Married,35 - 44 Married,0.5163063095300904
Age Married,45 - 54 Unmarried,0.3849851639006109
Age Married,45 - 54 Married,0.5941812158388028
Age Married,> 54 Unmarried,0.3874663585169206
Age Married,> 54 Married,0.5531210663582843
Race Education,White No Bachelors,0.5270190346993733
Race Education,White Bachelors,0.48577376304485986
Race Education,Hispanic No Bachelors,0.24790248960985203
Race Education,Hispanic Bachelors,0.26715471062585644
Race Education,Black No Bachelors,0.15502097569963788
Race Education,Black Bachelors,0.16785215830148478
Race Education,Other No Bachelors,0.33022105094070986
Race Education,Other Bachelors,0.3144361527240417
Race Urbanicity,White R1,0.6920209571477186
Race Urbanicity,White R2,0.6061125600625452
Race Urbanicity,White S3,0.5238745064112967
Race Urbanicity,White S4,0.4475374262586231
Race Urbanicity,White U5,0.3700082489293299
Race Urbanicity,White U6,0.20764284950344572
Race Urbanicity,Hispanic R1,0.4953106938969877
Race Urbanicity,Hispanic R2,0.363400193581723
Race Urbanicity,Hispanic S3,0.31331590914568436
Race Urbanicity,Hispanic S4,0.2533268385832385
Race Urbanicity,Hispanic U5,0.2405067961054218
Race Urbanicity,Hispanic U6,0.11785610031277771
Race Urbanicity,Black R1,0.30132995579369454
Race Urbanicity,Black R2,0.28377508686168534
Race Urbanicity,Black S3,0.21610402212377608
Race Urbanicity,Black S4,0.1437163383189597
Race Urbanicity,Black U5,0.10215296535286042
Race Urbanicity,Black U6,0.04586567864865008
Race Urbanicity,Other R1,0.5611518189917704
Race Urbanicity,Other R2,0.49008027323906606
Race Urbanicity,Other S3,0.39647414476802406
Race Urbanicity,Other S4,0.31982250454999844
Race Urbanicity,Other U5,0.2733370495608396
Race Urbanicity,Other U6,0.17653878363868472
Race Married,White Unmarried,0.4193275273195191
Race Married,White Married,0.5901324940584933
Race Married,Hispanic Unmarried,0.2108078285470263
Race Married,Hispanic Married,0.33526739302094044
