Demographic_Type,Demographic,Vote_R
National,National,0.44901988233177353
Party,Dem,0.06765530060478019
Party,Rep,0.9145845513663952
Party,Ind,0.4511302012883405
Gender,Male,0.5044158719898059
Gender,Female,0.3988566821930831
Age,18 - 24,0.3797240907411048
Age,25 - 34,0.3365755324141187
Age,35 - 44,0.397901830580853
Age,45 - 54,0.48483859904689036
Age,> 54,0.473966316147512
Race,White,0.5071840654514173
Race,Hispanic,0.2554048338053715
Race,Black,0.16032374338014108
Race,Other,0.322127755431355
Education,No Bachelors,0.4580793986248174
Education,Bachelors,0.4387646633453734
Urbanicity,R1,0.6596896003612138
Urbanicity,R2,0.5741878058934742
Urbanicity,S3,0.4865645814837988
Urbanicity,S4,0.3976290221586769
Urbanicity,U5,0.31715561639679435
Urbanicity,U6,0.15993688809807743
Married,Unmarried,0.3577050153668529
Married,Married,0.5466831731582567
Party Gender,Dem Male,0.07476942760633189
Party Gender,Dem Female,0.06256767469334269
Party Gender,Rep Male,0.921205660096546
Party Gender,Rep Female,0.9068257201861251
Party Gender,Ind Male,0.46793574663222237
Party Gender,Ind Female,0.43456162895849726
Party Age,Dem 18 - 24,0.0705236289514525
Party Age,Dem 25 - 34,0.05841806807789295
Party Age,Dem 35 - 44,0.0629525261957333
Party Age,Dem 45 - 54,0.07987315605385062
Party Age,Dem > 54,0.0668917505055317
Party Age,Rep 18 - 24,0.9214024913017564
Party Age,Rep 25 - 34,0.9048574245607788
Party Age,Rep 35 - 44,0.9122257112256085
Party Age,Rep 45 - 54,0.9295854281292051
Party Age,Rep > 54,0.9111706712458688
Party Age,Ind 18 - 24,0.4620838160582642
Party Age,Ind 25 - 34,0.4185369403921454
Party Age,Ind 35 - 44,0.4351598206194259
Party Age,Ind 45 - 54,0.49494910731480196
Party Age,Ind > 54,0.44539752653965864
Party Race,Dem White,0.077538879494543
Party Race,Dem Hispanic,0.05793759754189941
Party Race,Dem Black,0.029693498113646768
Party Race,Dem Other,0.07018511242343715
Party Race,Rep White,0.9202807290753042
Party Race,Rep Hispanic,0.8906208059467408
Party Race,Rep Black,0.8039627456918494
Party Race,Rep Other,0.9087285524794187
Party Race,Ind White,0.4646233056532837
Party Race,Ind Hispanic,0.38670426451869344
Party Race,Ind Black,0.2417341352375109
Party Race,Ind Other,0.4342125955028726
Party Education,Dem No Bachelors,0.0710334130035151
Party Education,Dem Bachelors,0.06394618486613071
Party Education,Rep No Bachelors,0.9213013348549418
Party Education,Rep Bachelors,0.9070132346541131
Party Education,Ind No Bachelors,0.4700619860350664
Party Education,Ind Bachelors,0.4267504536384214
Party Urbanicity,Dem R1,0.11423734150680107
Party Urbanicity,Dem R2,0.08110037575174447
Party Urbanicity,Dem S3,0.0612197106537552
Party Urbanicity,Dem S4,0.05357772423375934
Party Urbanicity,Dem U5,0.07026366165623561
Party Urbanicity,Dem U6,0.04790310972885205
Party Urbanicity,Rep R1,0.948021801740017
