Demographic_Type,Demographic,Vote_R
National,National,0.44845227278276084
Party,Dem,0.07302125004549773
Party,Rep,0.9060236329197895
Party,Ind,0.4528450254223495
Gender,Male,0.5016448649999997
Gender,Female,0.4002843338080989
Age,18 - 24,0.3756434592658493
Age,25 - 34,0.3424288483979409
Age,35 - 44,0.3999594067087356
Age,45 - 54,0.47013269453423273
Age,> 54,0.47639780277235994
Race,White,0.505823960203525
Race,Hispanic,0.25851283215080156
Race,Black,0.16406967823304058
Race,Other,0.32085320965223046
Education,No Bachelors,0.4548560139467734
Education,Bachelors,0.441203346256783
Urbanicity,R1,0.6470418484851146
Urbanicity,R2,0.5677875043821282
Urbanicity,S3,0.48658047859355935
Urbanicity,S4,0.4020042057282143
Urbanicity,U5,0.3208196434914138
Urbanicity,U6,0.17042480753160277
Married,Unmarried,0.36054302120568066
Married,Married,0.5424731818468789
Party Gender,Dem Male,0.07903599137195483
Party Gender,Dem Female,0.06871984330698959
Party Gender,Rep Male,0.9115549643631462
Party Gender,Rep Female,0.8995418383110266
Party Gender,Ind Male,0.4659391942711985
Party Gender,Ind Female,0.4399354959050394
Party Age,Dem 18 - 24,0.07257026906101027
Party Age,Dem 25 - 34,0.06724328486905053
Party Age,Dem 35 - 44,0.06991537700909359
Party Age,Dem 45 - 54,0.07515169307060092
Party Age,Dem > 54,0.07455734794820892
Party Age,Rep 18 - 24,0.9085491326775981
Party Age,Rep 25 - 34,0.8998921637253174
Party Age,Rep 35 - 44,0.904339038422152
Party Age,Rep 45 - 54,0.9100161837560754
Party Age,Rep > 54,0.905665928634754
Party Age,Ind 18 - 24,0.45237053534588445
Party Age,Ind 25 - 34,0.4340269103895369
Party Age,Ind 35 - 44,0.44263194774316794
Party Age,Ind 45 - 54,0.46059297350128037
Party Age,Ind > 54,0.45619883783172416
Party Race,Dem White,0.08319005922997631
Party Race,Dem Hispanic,0.0638149416633203
Party Race,Dem Black,0.03423827859573391
Party Race,Dem Other,0.07351506370242404
Party Race,Rep White,0.9115738139481998
Party Race,Rep Hispanic,0.882827320047449
Party Race,Rep Black,0.7998886645163324
Party Race,Rep Other,0.8979732663284433
Party Race,Ind White,0.465871385501231
Party Race,Ind Hispanic,0.3928744805852915
Party Race,Ind Black,0.25613717767851685
Party Race,Ind Other,0.4279434706246791
Party Education,Dem No Bachelors,0.07455919297178411
Party Education,Dem Bachelors,0.07133261223842839
Party Education,Rep No Bachelors,0.9106914439630462
Party Education,Rep Bachelors,0.90076196625719
Party Education,Ind No Bachelors,0.4646207742671438
Party Education,Ind Bachelors,0.4376805922183134
Party Urbanicity,Dem R1,0.10919507630798879
Party Urbanicity,Dem R2,0.08287752914449871
Party Urbanicity,Dem S3,0.06655260853316008
Party Urbanicity,Dem S4,0.06052252567165437
Party Urbanicity,Dem U5,0.07683298567304805
Party Urbanicity,Dem U6,0.058498170347751406
Party Urbanicity,Rep R1,0.9351670614626119
