Demographic_Type,Demographic,Vote_R
National,National,0.44970076201462966
Party,Dem,0.07181476742870951
Party,Rep,0.9086897907341404
Party,Ind,0.4589844638489334
Gender,Male,0.5051325119208803
Gender,Female,0.3995051795952099
Age,18 - 24,0.3797151380700176
Age,25 - 34,0.3367913737898125
Age,35 - 44,0.3974643592987733
Age,45 - 54,0.4837116756486331
Age,> 54,0.4756108932604436
Race,White,0.5077174397704279
Race,Hispanic,0.25896835813218977
Race,Black,0.15972986059705466
Race,Other,0.32371156584181304
Education,No Bachelors,0.4587892015785554
Education,Bachelors,0.43941280237551683
Urbanicity,R1,0.65694055631693
Urbanicity,R2,0.5714931028671495
Urbanicity,S3,0.4856056497384089
Urbanicity,S4,0.40042262966885117
Urbanicity,U5,0.3215000935952027
Urbanicity,U6,0.16130124970288864
Married,Unmarried,0.35919597817963195
Married,Married,0.5464976508307843
Party Gender,Dem Male,0.07949504537719532
Party Gender,Dem Female,0.0663222620110756
Party Gender,Rep Male,0.9157958135143893
Party Gender,Rep Female,0.9003627214528223
Party Gender,Ind Male,0.4765026867586368
Party Gender,Ind Female,0.4417132633356215
Party Age,Dem 18 - 24,0.07335884903764915
Party Age,Dem 25 - 34,0.06155011680069792
Party Age,Dem 35 - 44,0.06610045587886443
Party Age,Dem 45 - 54,0.08305397593508451
Party Age,Dem > 54,0.0719984333342351
Party Age,Rep 18 - 24,0.9142683311377275
Party Age,Rep 25 - 34,0.8966506460909528
Party Age,Rep 35 - 44,0.9042371696347247
Party Age,Rep 45 - 54,0.922507086669331
Party Age,Rep > 54,0.9063424089501144
Party Age,Ind 18 - 24,0.465687317559841
Party Age,Ind 25 - 34,0.4233518273469329
Party Age,Ind 35 - 44,0.43937815707735384
Party Age,Ind 45 - 54,0.49759522390813626
Party Age,Ind > 54,0.45680795585088274
Party Race,Dem White,0.08227073451698301
Party Race,Dem Hispanic,0.06276761879048863
Party Race,Dem Black,0.031058757608200375
Party Race,Dem Other,0.07393244959319936
Party Race,Rep White,0.9146117933207016
Party Race,Rep Hispanic,0.8858234830621905
Party Race,Rep Black,0.7915408493587498
Party Race,Rep Other,0.9028220942652511
Party Race,Ind White,0.4724157761662348
Party Race,Ind Hispanic,0.3999728420232828
Party Race,Ind Black,0.24616591287931627
Party Race,Ind Other,0.4406619436457846
Party Education,Dem No Bachelors,0.07520749376857079
Party Education,Dem Bachelors,0.0680896058062535
Party Education,Rep No Bachelors,0.9156075431014683
Party Education,Rep Bachelors,0.9008919371633812
Party Education,Ind No Bachelors,0.4772276824201052
Party Education,Ind Bachelors,0.43549142972469906
Party Urbanicity,Dem R1,0.1165566624557196
Party Urbanicity,Dem R2,0.08368238019647445
Party Urbanicity,Dem S3,0.06437017180742349
Party Urbanicity,Dem S4,0.05821909796248272
Party Urbanicity,Dem U5,0.076161546017037507
Party Urbanicity,Dem U6,0.05055155660303985
Party Urbanicity,Rep R1,0.9421417596222919
Party Urbanicity,Rep R2,0.9158714174434016
Party Urbanicity,Rep S3,0.8917589131922149
Party Urbanicity,Rep S4,0.8826644022434765
Party Urbanicity,Rep U5,0.9090648494817177
Party Urbanicity,Rep U6,0.8682029723796988
Party Urbanicity,Ind R1,0.5695826922143248
Party Urbanicity,Ind R2,0.47307718479820293
Party Urbanicity,Ind S3,0.4076008343188823
Party Urbanicity,Ind S4,0.38923101156906165
Party Urbanicity,Ind U5,0.4641071795466476
Party Urbanicity,Ind U6,0.3611182047797932
Party Married,Dem Unmarried,0.06597450376657275
Party Married,Dem Married,0.08155819634117958
Party Married,Rep Unmarried,0.8988033181632398
Party Married,Rep Married,0.915054697662063
Party Married,Ind Unmarried,0.43922687142479955
Party Married,Ind Married,0.4782625553177393
Gender Age,Male 18 - 24,0.4385852504492256
Gender Age,Male 25 - 34,0.3898261801085872
Gender Age,Male 35 - 44,0.4554817784522363
Gender Age,Male 45 - 54,0.5411654540154485
Gender Age,Male > 54,0.5302706595511343
Gender Age,Female 18 - 24,0.3193719493190687
Gender Age,Female 25 - 34,0.288261480567559
Gender Age,Female 35 - 44,0.34615681213704125
Gender Age,Female 45 - 54,0.4308999812778112
Gender Age,Female > 54,0.4266000559259287
Gender Race,Male White,0.5607765879728498
Gender Race,Male Hispanic,0.28224486045233577
Gender Race,Male Black,0.20214975234515495
Gender Race,Male Other,0.36364156831571964
Gender Race,Female White,0.45749242582437677
Gender Race,Female Hispanic,0.23986390664711746
Gender Race,Female Black,0.1301620946951845
