Demographic_Type,Demographic,Vote_R
National,National,0.5034740689270688
Party,Dem,0.43576252931738313
Party,Rep,0.5710953385271246
Party,Ind,0.5502962588677457
Gender,Male,0.5480762113425064
Gender,Female,0.4630851127876137
Age,18 - 24,0.4746505618024725
Age,25 - 34,0.44768848860539373
Age,35 - 44,0.46540892491091995
Age,45 - 54,0.5136196121517168
Age,> 54,0.5208575047556141
Race,White,0.57326554614435965
Race,Hispanic,0.29345249194240874
Race,Black,0.11416974145578854
Race,Other,0.40861329850754485
Education,No Bachelors,0.5237615472730666
Education,Bachelors,0.4805089870849171
Urbanicity,R1,0.6297042107378816
Urbanicity,R2,0.599309729738011
Urbanicity,S3,0.5285041339900401
Urbanicity,S4,0.45048869332791713
Urbanicity,U5,0.42268480745107734
Urbanicity,U6,0.35993911318650346
Married,Unmarried,0.4381671492143069
Married,Married,0.5733212789694319
Party Gender,Dem Male,0.4814989003921202
Party Gender,Dem Female,0.40305443364742954
Party Gender,Rep Male,0.6023373729547916
Party Gender,Rep Female,0.5344849035181626
Party Gender,Ind Male,0.5770747159142576
Party Gender,Ind Female,0.5238954016876926
Party Age,Dem 18 - 24,0.41312351696172406
Party Age,Dem 25 - 34,0.39824583686237214
Party Age,Dem 35 - 44,0.39990412465866565
Party Age,Dem 45 - 54,0.43956631428446286
Party Age,Dem > 54,0.45507502883488055
Party Age,Rep 18 - 24,0.5640133372915122
Party Age,Rep 25 - 34,0.5283193322149625
Party Age,Rep 35 - 44,0.5482234668242222
Party Age,Rep 45 - 54,0.5824675542966322
Party Age,Rep > 54,0.5769303512046935
Party Age,Ind 18 - 24,0.5286177657591207
Party Age,Ind 25 - 34,0.507393509999691
Party Age,Ind 35 - 44,0.5166045380036682
Party Age,Ind 45 - 54,0.5551481609089325
Party Age,Ind > 54,0.566642190361781
Party Race,Dem White,0.5355689338358416
Party Race,Dem Hispanic,0.28552687604644245
Party Race,Dem Black,0.11272880095333616
Party Race,Dem Other,0.3912558687620332
Party Race,Rep White,0.6040177650342635
Party Race,Rep Hispanic,0.31329417104986956
Party Race,Rep Black,0.11802638125967518
Party Race,Rep Other,0.44423785001013977
Party Race,Ind White,0.5868876449278927
Party Race,Ind Hispanic,0.3126324727354271
Party Race,Ind Black,0.12438223349530939
Party Race,Ind Other,0.4277137365950186
Party Education,Dem No Bachelors,0.44689423651624044
Party Education,Dem Bachelors,0.423540085095343
Party Education,Rep No Bachelors,0.5995114896663651
Party Education,Rep Bachelors,0.5390639829852736
Party Education,Ind No Bachelors,0.5733724100320815
Party Education,Ind Bachelors,0.5205795285306765
Party Urbanicity,Dem R1,0.5619982975241774
Party Urbanicity,Dem R2,0.5507683243357879
Party Urbanicity,Dem S3,0.4790950977308683
Party Urbanicity,Dem S4,0.4110098309447508
Party Urbanicity,Dem U5,0.39219467257562185
Party Urbanicity,Dem U6,0.34550061827510303
Party Urbanicity,Rep R1,0.6603290813772308
Party Urbanicity,Rep R2,0.6285828877286964
Party Urbanicity,Rep S3,0.5669423393081157
Party Urbanicity,Rep S4,0.493486454462331
Party Urbanicity,Rep U5,0.4825955686053135
Party Urbanicity,Rep U6,0.4398305278250092
Party Urbanicity,Ind R1,0.635642554389705
Party Urbanicity,Ind R2,0.6066834999144971
Party Urbanicity,Ind S3,0.5466374673719522
Party Urbanicity,Ind S4,0.48398878388353794
Party Urbanicity,Ind U5,0.47895046919721646
Party Urbanicity,Ind U6,0.43581510254081735
Party Married,Dem Unmarried,0.3911300276624661
Party Married,Dem Married,0.5102238263098002
Party Married,Rep Unmarried,0.5058977043272752
Party Married,Rep Married,0.6130695482997989
Party Married,Ind Unmarried,0.4971238586907014
Party Married,Ind Married,0.6021782074485307
Gender Age,Male 18 - 24,0.512996799251153
Gender Age,Male 25 - 34,0.48653236613199663
Gender Age,Male 35 - 44,0.5174145850426838
Gender Age,Male 45 - 54,0.56226485922782
Gender Age,Male > 54,0.5640478402265032
Gender Age,Female 18 - 24,0.4353448062885475
Gender Age,Female 25 - 34,0.41214411011980656
Gender Age,Female 35 - 44,0.41941786052335106
Gender Age,Female 45 - 54,0.4689047475387372
Gender Age,Female > 54,0.48213076569622304
Gender Race,Male White,0.6121555127682227
Gender Race,Male Hispanic,0.3261721374606018
Gender Race,Male Black,0.13578257771585783
Gender Race,Male Other,0.4547653631341187
Gender Race,Female White,0.5364528723224337
Gender Race,Female Hispanic,0.2665974743021485
Gender Race,Female Black,0.09910503344549998
Gender Race,Female Other,0.3705070619514677
Gender Education,Male No Bachelors,0.5660244279707505
Gender Education,Male Bachelors,0.5274511379710868
Gender Education,Female No Bachelors,0.4849731740613724
Gender Education,Female Bachelors,0.4386431850178981
Gender Urbanicity,Male R1,0.6646113531697843
Gender Urbanicity,Male R2,0.6364993492154183
Gender Urbanicity,Male S3,0.5713350164368581
Gender Urbanicity,Male S4,0.49299224490705185
Gender Urbanicity,Male U5,0.472114021455943
Gender Urbanicity,Male U6,0.41933680982240723
Gender Urbanicity,Female R1,0.5962798899776651
Gender Urbanicity,Female R2,0.5646579605681284
Gender Urbanicity,Female S3,0.48937537685334254
Gender Urbanicity,Female S4,0.4126471398676994
Gender Urbanicity,Female U5,0.37929928479100444
Gender Urbanicity,Female U6,0.3095183832891857
Gender Married,Male Unmarried,0.48900985763784116
Gender Married,Male Married,0.6038181119461506
Gender Married,Female Unmarried,0.39716050980749557
Gender Married,Female Married,0.5420871499826235
Age Race,18 - 24 White,0.5588946690149601
Age Race,18 - 24 Hispanic,0.24618974253426845
Age Race,18 - 24 Black,0.19117447306099233
Age Race,18 - 24 Other,0.3440547454019014
Age Race,25 - 34 White,0.5094637112701975
Age Race,25 - 34 Hispanic,0.28605481769075036
Age Race,25 - 34 Black,0.19198760298469375
Age Race,25 - 34 Other,0.39614229187370825
Age Race,35 - 44 White,0.532555975322019
Age Race,35 - 44 Hispanic,0.2866595703458383
Age Race,35 - 44 Black,0.15703088639908086
Age Race,35 - 44 Other,0.38341612083929166
