Demographic_Type,Demographic,Vote_R
National,National,0.47394941084498377
Party,Dem,0.07627412644751223
Party,Rep,0.9058834511265961
Party,Ind,0.4495692722324207
Gender,Male,0.5355693895221436
Gender,Female,0.41707866389275483
Age,18 - 24,0.39226663419251656
Age,25 - 34,0.35913643577989024
Age,35 - 44,0.4222967090608973
Age,45 - 54,0.5225373274609107
Age,> 54,0.495335594608951
Race,White,0.5099383346961476
Race,Hispanic,0.29179336161489866
Race,Black,0.23115330290705538
Race,Other,0.3725011959651424
Education,No Bachelors,0.4733923033862533
Education,Bachelors,0.47450061133001703
Urbanicity,R1,0.6068169282679057
Urbanicity,R2,0.5538472227360722
Urbanicity,S3,0.47947225796021753
Urbanicity,S4,0.41454675566545385
Urbanicity,U5,0.42541004695264506
Urbanicity,U6,0.3496069177776488
Married,Unmarried,0.39115629078152536
Married,Married,0.5485795047517651
Party Gender,Dem Male,0.08421575601481908
Party Gender,Dem Female,0.07093286942742724
Party Gender,Rep Male,0.9128938812959615
Party Gender,Rep Female,0.8973199162603334
Party Gender,Ind Male,0.4671443461327447
Party Gender,Ind Female,0.43137036530700795
Party Age,Dem 18 - 24,0.07833626741186818
Party Age,Dem 25 - 34,0.06659385534575742
Party Age,Dem 35 - 44,0.07073864180040704
Party Age,Dem 45 - 54,0.08824946439181816
Party Age,Dem > 54,0.07601005165310899
Party Age,Rep 18 - 24,0.9113341868909637
Party Age,Rep 25 - 34,0.8941232316104333
Party Age,Rep 35 - 44,0.901402193017467
Party Age,Rep 45 - 54,0.9194025808331904
Party Age,Rep > 54,0.903187224526822
Party Age,Ind 18 - 24,0.46160704319363205
Party Age,Ind 25 - 34,0.42062025140006226
Party Age,Ind 35 - 44,0.43176066033419797
Party Age,Ind 45 - 54,0.48577530771821775
Party Age,Ind > 54,0.444958479745802
Party Race,Dem White,0.08231591653080687
Party Race,Dem Hispanic,0.06767679426781098
Party Race,Dem Black,0.034356428958008646
Party Race,Dem Other,0.07682652960670315
Party Race,Rep White,0.9107709818963543
Party Race,Rep Hispanic,0.886316077462096
Party Race,Rep Black,0.7990786624775664
Party Race,Rep Other,0.8990773459940061
Party Race,Ind White,0.4597213945205697
Party Race,Ind Hispanic,0.40462874684219907
Party Race,Ind Black,0.2490571771572705
Party Race,Ind Other,0.43448164679497747
Party Education,Dem No Bachelors,0.08070151754577122
Party Education,Dem Bachelors,0.07169720739752189
Party Education,Rep No Bachelors,0.9129803670246419
Party Education,Rep Bachelors,0.8992529350480855
Party Education,Ind No Bachelors,0.4694360017455392
Party Education,Ind Bachelors,0.42942041928004576
Party Urbanicity,Dem R1,0.11716355834618107
Party Urbanicity,Dem R2,0.08487705469487579
Party Urbanicity,Dem S3,0.06645114317653611
Party Urbanicity,Dem S4,0.06065690800197056
Party Urbanicity,Dem U5,0.0820696490979935
Party Urbanicity,Dem U6,0.04956288844058965
Party Urbanicity,Rep R1,0.9406602420784775
Party Urbanicity,Rep R2,0.9160179999136671
Party Urbanicity,Rep S3,0.8935573805563685
Party Urbanicity,Rep S4,0.8840354054241106
Party Urbanicity,Rep U5,0.9097237882379642
Party Urbanicity,Rep U6,0.8518624120994739
Party Urbanicity,Ind R1,0.5742092080286524
Party Urbanicity,Ind R2,0.4791076805447252
Party Urbanicity,Ind S3,0.4135687643278255
Party Urbanicity,Ind S4,0.39248168027708524
Party Urbanicity,Ind U5,0.4674102800748274
Party Urbanicity,Ind U6,0.3297474923355169
Party Married,Dem Unmarried,0.07054411041680833
Party Married,Dem Married,0.08411033309567945
Party Married,Rep Unmarried,0.8958503320949996
Party Married,Rep Married,0.911855129402805
Party Married,Ind Unmarried,0.4308781881145556
Party Married,Ind Married,0.4651141036458158
Gender Age,Male 18 - 24,0.4571120486389322
Gender Age,Male 25 - 34,0.41856542260579066
Gender Age,Male 35 - 44,0.48695138644424935
Gender Age,Male 45 - 54,0.5876858158289161
Gender Age,Male > 54,0.5555135815623734
Gender Age,Female 18 - 24,0.3251544462249612
Gender Age,Female 25 - 34,0.3035769137737864
Gender Age,Female 35 - 44,0.36391960799887035
Gender Age,Female 45 - 54,0.4616883151430614
Gender Age,Female > 54,0.4403270445327066
Gender Race,Male White,0.5717431796685607
Gender Race,Male Hispanic,0.32239472662869
Gender Race,Male Black,0.28481023484610146
Gender Race,Male Other,0.4225782944232596
Gender Race,Female White,0.45141223544861814
Gender Race,Female Hispanic,0.2666876133027951
Gender Race,Female Black,0.18994236453275617
Gender Race,Female Other,0.3297602872999556
Gender Education,Male No Bachelors,0.5351651181400819
Gender Education,Male Bachelors,0.5359739991100827
Gender Education,Female No Bachelors,0.41574359380580234
Gender Education,Female Bachelors,0.41838563701813614
Gender Urbanicity,Male R1,0.6685222867556372
Gender Urbanicity,Male R2,0.6157045971815516
Gender Urbanicity,Male S3,0.5443082089203278
Gender Urbanicity,Male S4,0.4771965787676607
Gender Urbanicity,Male U5,0.4816515727559032
Gender Urbanicity,Male U6,0.39052844612236237
Gender Urbanicity,Female R1,0.5480717967515387
Gender Urbanicity,Female R2,0.49578770441857284
Gender Urbanicity,Female S3,0.41918063838938857
Gender Urbanicity,Female S4,0.35717277062308617
Gender Urbanicity,Female U5,0.3747412039125304
Gender Urbanicity,Female U6,0.3118876006491171
Gender Married,Male Unmarried,0.46401396679494905
Gender Married,Male Married,0.5926415080751568
Gender Married,Female Unmarried,0.3317354723589657
Gender Married,Female Married,0.5031433054434761
Age Race,18 - 24 White,0.4428290833763724
Age Race,18 - 24 Hispanic,0.20860009938727048
Age Race,18 - 24 Black,0.17916096744803936
Age Race,18 - 24 Other,0.27392740860345544
Age Race,25 - 34 White,0.39789106016209375
Age Race,25 - 34 Hispanic,0.2115864276444965
Age Race,25 - 34 Black,0.16184930812192333
Age Race,25 - 34 Other,0.25929840937963194
Age Race,35 - 44 White,0.4627400527834446
Age Race,35 - 44 Hispanic,0.2558605527546342
Age Race,35 - 44 Black,0.19477884111023935
Age Race,35 - 44 Other,0.3064591670879497
Age Race,45 - 54 White,0.564779832761321
Age Race,45 - 54 Hispanic,0.33124081959312046
Age Race,45 - 54 Black,0.2568804290114961
Age Race,45 - 54 Other,0.4029815586364627
Age Race,> 54 White,0.5250629761161582
Age Race,> 54 Hispanic,0.32074458808908796
Age Race,> 54 Black,0.25214694405569155
Age Race,> 54 Other,0.41196746122306727
Age Education,18 - 24 No Bachelors,0.3933670456046177
Age Education,18 - 24 Bachelors,0.3891378521811749
Age Education,25 - 34 No Bachelors,0.3554656439455106
Age Education,25 - 34 Bachelors,0.36210607660910155
Age Education,35 - 44 No Bachelors,0.4190434397508068
Age Education,35 - 44 Bachelors,0.4243740707314486
Age Education,45 - 54 No Bachelors,0.5163205851505376
Age Education,45 - 54 Bachelors,0.5273287380944708
Age Education,> 54 No Bachelors,0.4960303994295246
Age Education,> 54 Bachelors,0.494540659826267
Age Urbanicity,18 - 24 R1,0.5708008068436261
Age Urbanicity,18 - 24 R2,0.4855106919734413
Age Urbanicity,18 - 24 S3,0.4080919151403429
Age Urbanicity,18 - 24 S4,0.3424230615577265
Age Urbanicity,18 - 24 U5,0.3252340208958072
Age Urbanicity,18 - 24 U6,0.20910765915777935
Age Urbanicity,25 - 34 R1,0.5478849573930741
Age Urbanicity,25 - 34 R2,0.4655119032113871
Age Urbanicity,25 - 34 S3,0.3698029870773223
Age Urbanicity,25 - 34 S4,0.29704608169067703
Age Urbanicity,25 - 34 U5,0.29537768309326773
Age Urbanicity,25 - 34 U6,0.22291597384300707
Age Urbanicity,35 - 44 R1,0.6040980980020751
Age Urbanicity,35 - 44 R2,0.5339160664648253
Age Urbanicity,35 - 44 S3,0.4375965263006961
Age Urbanicity,35 - 44 S4,0.3540266625903487
Age Urbanicity,35 - 44 U5,0.3479437147236353
Age Urbanicity,35 - 44 U6,0.26603741834129746
Age Urbanicity,45 - 54 R1,0.6624102852521957
Age Urbanicity,45 - 54 R2,0.6162585156618382
Age Urbanicity,45 - 54 S3,0.5404243287562278
Age Urbanicity,45 - 54 S4,0.46485119920142476
