Demographic_Type,Demographic,Vote_R
National,National,0.4723546110130261
Party,Dem,0.07431590704111035
Party,Rep,0.9074143856678104
Party,Ind,0.4417000400430985
Gender,Male,0.533969083475942
Gender,Female,0.4154889458950279
Age,18 - 24,0.3934081453719572
Age,25 - 34,0.3581681066760198
Age,35 - 44,0.42126488333363515
Age,45 - 54,0.522570249658827
Age,> 54,0.4927506936757454
Race,White,0.5084461138664407
Race,Hispanic,0.2897254098417398
Race,Black,0.22923325731778596
Race,Other,0.3701380963888993
Education,No Bachelors,0.4721178545055289
Education,Bachelors,0.47258885720686566
Urbanicity,R1,0.6054272147131099
Urbanicity,R2,0.5540041426843094
Urbanicity,S3,0.4800785863624307
Urbanicity,S4,0.41215738477790675
Urbanicity,U5,0.4216252304196448
Urbanicity,U6,0.3565769897440877
Married,Unmarried,0.38955403863019294
Married,Married,0.5469914224742896
Party Gender,Dem Male,0.08216925439714991
Party Gender,Dem Female,0.06903402549008793
Party Gender,Rep Male,0.9142225745381856
Party Gender,Rep Female,0.8990978970417157
Party Gender,Ind Male,0.45915167880990165
Party Gender,Ind Female,0.4236289496218444
Party Age,Dem 18 - 24,0.08108914876532314
Party Age,Dem 25 - 34,0.06516750624286208
Party Age,Dem 35 - 44,0.06886349064430859
Party Age,Dem 45 - 54,0.08602102992110094
Party Age,Dem > 54,0.07352874700166662
Party Age,Rep 18 - 24,0.9115892266460204
Party Age,Rep 25 - 34,0.8983689104743103
Party Age,Rep 35 - 44,0.9051429842513536
Party Age,Rep 45 - 54,0.9231785335341042
Party Age,Rep > 54,0.9033299327445912
Party Age,Ind 18 - 24,0.45972070796708575
Party Age,Ind 25 - 34,0.4126651967893506
Party Age,Ind 35 - 44,0.4244608172137825
Party Age,Ind 45 - 54,0.48170901532241767
Party Age,Ind > 54,0.434989684648659
Party Race,Dem White,0.08034050527824954
Party Race,Dem Hispanic,0.06577537598881465
Party Race,Dem Black,0.03275735013097559
Party Race,Dem Other,0.07448064796788521
Party Race,Rep White,0.912407822697471
Party Race,Rep Hispanic,0.8873925692512518
Party Race,Rep Black,0.7982469087188656
Party Race,Rep Other,0.9005349526299254
Party Race,Ind White,0.4519388587527157
Party Race,Ind Hispanic,0.3953181215846574
Party Race,Ind Black,0.24246949620734226
Party Race,Ind Other,0.42530600052596257
Party Education,Dem No Bachelors,0.07904387954972103
Party Education,Dem Bachelors,0.06942825493127072
Party Education,Rep No Bachelors,0.9144143939725543
Party Education,Rep Bachelors,0.9008744085451995
Party Education,Ind No Bachelors,0.46315172770174884
Party Education,Ind Bachelors,0.4199437212726127
Party Urbanicity,Dem R1,0.1143382544033292
Party Urbanicity,Dem R2,0.08338260565564123
Party Urbanicity,Dem S3,0.0662813338394615
Party Urbanicity,Dem S4,0.05887257889398647
Party Urbanicity,Dem U5,0.07873837215848675
Party Urbanicity,Dem U6,0.0530946578417781
Party Urbanicity,Rep R1,0.9413812041658779
Party Urbanicity,Rep R2,0.9178530126401081
Party Urbanicity,Rep S3,0.8961227804248239
Party Urbanicity,Rep S4,0.8856411968699184
Party Urbanicity,Rep U5,0.9101995162747679
Party Urbanicity,Rep U6,0.8627558470150701
Party Urbanicity,Ind R1,0.5695791584152275
Party Urbanicity,Ind R2,0.477926741040288
Party Urbanicity,Ind S3,0.41148778468530894
Party Urbanicity,Ind S4,0.38104984255191376
Party Urbanicity,Ind U5,0.4520076994804159
Party Urbanicity,Ind U6,0.3438435688936011
Party Married,Dem Unmarried,0.06868381507308746
Party Married,Dem Married,0.08201819553147756
Party Married,Rep Unmarried,0.897567318327232
Party Married,Rep Married,0.9132753266111913
Party Married,Ind Unmarried,0.42382772380077954
Party Married,Ind Married,0.4565639260114989
Gender Age,Male 18 - 24,0.4576638943215189
Gender Age,Male 25 - 34,0.41740940190692444
Gender Age,Male 35 - 44,0.48599709744114594
Gender Age,Male 45 - 54,0.5877498799777582
Gender Age,Male > 54,0.5529489665597677
Gender Age,Female 18 - 24,0.3269062355867634
Gender Age,Female 25 - 34,0.30278405552781695
Gender Age,Female 35 - 44,0.36281777389223924
Gender Age,Female 45 - 54,0.4616921506038492
Gender Age,Female > 54,0.43772360028016233
Gender Race,Male White,0.5704966489374349
Gender Race,Male Hispanic,0.3189393334287695
Gender Race,Male Black,0.28073662061673404
Gender Race,Male Other,0.4196141812242687
Gender Race,Female White,0.44968735837488844
Gender Race,Female Hispanic,0.26575793608838105
Gender Race,Female Black,0.18967635657300905
Gender Race,Female Other,0.32791015411248753
Gender Education,Male No Bachelors,0.5339782286424505
Gender Education,Male Bachelors,0.5339599306587582
Gender Education,Female No Bachelors,0.414387431221937
Gender Education,Female Bachelors,0.4165672788522356
Gender Urbanicity,Male R1,0.6672842815513743
Gender Urbanicity,Male R2,0.6166410240656042
Gender Urbanicity,Male S3,0.5451103302494725
Gender Urbanicity,Male S4,0.4747915002458401
Gender Urbanicity,Male U5,0.4770037930195151
Gender Urbanicity,Male U6,0.399353699041062
Gender Urbanicity,Female R1,0.5465376528389491
Gender Urbanicity,Female R2,0.4952129768045863
Gender Urbanicity,Female S3,0.4196048969292737
Gender Urbanicity,Female S4,0.3547977846057469
Gender Urbanicity,Female U5,0.3717338440092597
Gender Urbanicity,Female U6,0.31714766417990636
Gender Married,Male Unmarried,0.46247699299528067
Gender Married,Male Married,0.5909906886598125
Gender Married,Female Unmarried,0.3300799808882725
Gender Married,Female Married,0.5016199169358075
Age Race,18 - 24 White,0.44318486018000164
Age Race,18 - 24 Hispanic,0.21470319277434036
Age Race,18 - 24 Black,0.1809699440393388
Age Race,18 - 24 Other,0.2762666750781403
Age Race,25 - 34 White,0.39640549305989103
Age Race,25 - 34 Hispanic,0.2126353657479654
