Demographic_Type,Demographic,Vote_R
National,National,0.4519935881183062
Party,Dem,0.053950924936774135
Party,Rep,0.9315645552383123
Party,Ind,0.4738191965364947
Gender,Male,0.514456567240006
Gender,Female,0.39543095709964826
Age,18 - 24,0.3606756447002363
Age,25 - 34,0.3348304288796971
Age,35 - 44,0.4043621058411038
Age,45 - 54,0.4904165409395474
Age,> 54,0.47768455604880716
Race,White,0.5123708269654982
Race,Hispanic,0.23110782323721543
Race,Black,0.16175316460245948
Race,Other,0.3310445109621768
Education,No Bachelors,0.4569639856572332
Education,Bachelors,0.44636718229680566
Urbanicity,R1,0.6478844933432515
Urbanicity,R2,0.5954074663234923
Urbanicity,S3,0.4876543778438865
Urbanicity,S4,0.3952206587242227
Urbanicity,U5,0.31950655453956583
Urbanicity,U6,0.18407739361517747
Married,Unmarried,0.36317874334902306
Married,Married,0.5469830493387186
Party Gender,Dem Male,0.06805610221696451
Party Gender,Dem Female,0.04386369070543929
Party Gender,Rep Male,0.9425574683485252
Party Gender,Rep Female,0.918682701084019
Party Gender,Ind Male,0.49313989032098177
Party Gender,Ind Female,0.4547709415777487
Party Age,Dem 18 - 24,0.0920586262486742
Party Age,Dem 25 - 34,0.06509836783448969
Party Age,Dem 35 - 44,0.05997848969417436
Party Age,Dem 45 - 54,0.08728357257643092
Party Age,Dem > 54,0.03564544544426458
Party Age,Rep 18 - 24,0.8795958615793147
Party Age,Rep 25 - 34,0.8918684225839254
Party Age,Rep 35 - 44,0.9162799079503412
Party Age,Rep 45 - 54,0.9377864005370522
Party Age,Rep > 54,0.9394704837187317
Party Age,Ind 18 - 24,0.3336337465032437
Party Age,Ind 25 - 34,0.40108963354015587
Party Age,Ind 35 - 44,0.48441127374766557
Party Age,Ind 45 - 54,0.48574273498747006
Party Age,Ind > 54,0.4915052351247639
Party Race,Dem White,0.05702230690368026
Party Race,Dem Hispanic,0.04530005607062462
Party Race,Dem Black,0.0340754271058187
Party Race,Dem Other,0.08606337860498811
Party Race,Rep White,0.9451046449321856
Party Race,Rep Hispanic,0.8287411792327256
Party Race,Rep Black,0.7645923442983722
Party Race,Rep Other,0.8501391386619962
Party Race,Ind White,0.4833047876241202
Party Race,Ind Hispanic,0.3548422428069632
Party Race,Ind Black,0.31672161931154996
Party Race,Ind Other,0.5619143408162917
Party Education,Dem No Bachelors,0.05849722429484998
Party Education,Dem Bachelors,0.04895915778658515
Party Education,Rep No Bachelors,0.9335461282628372
Party Education,Rep Bachelors,0.929330879404816
Party Education,Ind No Bachelors,0.47019655898286994
Party Education,Ind Bachelors,0.4784843134584355
Party Urbanicity,Dem R1,0.07747020699614086
Party Urbanicity,Dem R2,0.05532167543190941
Party Urbanicity,Dem S3,0.03890573381613109
Party Urbanicity,Dem S4,0.040536948031917985
Party Urbanicity,Dem U5,0.05836010956749213
Party Urbanicity,Dem U6,0.06778377336656104
Party Urbanicity,Rep R1,0.9536948377260424
Party Urbanicity,Rep R2,0.9669689971824978
Party Urbanicity,Rep S3,0.9118342472848834
Party Urbanicity,Rep S4,0.8940798025254381
Party Urbanicity,Rep U5,0.9323417541790245
Party Urbanicity,Rep U6,0.8900688762883328
Party Urbanicity,Ind R1,0.5399410450469189
Party Urbanicity,Ind R2,0.5198522615837992
Party Urbanicity,Ind S3,0.4297612384170245
Party Urbanicity,Ind S4,0.3862914711126412
Party Urbanicity,Ind U5,0.5083092928366664
Party Urbanicity,Ind U6,0.541315925990043
Party Married,Dem Unmarried,0.05475811274742364
Party Married,Dem Married,0.052604277335388576
Party Married,Rep Unmarried,0.9217770867311942
Party Married,Rep Married,0.9378657233911619
Party Married,Ind Unmarried,0.4693502447865194
Party Married,Ind Married,0.4781796904041822
Gender Age,Male 18 - 24,0.41293186865392095
Gender Age,Male 25 - 34,0.3849750189747049
Gender Age,Male 35 - 44,0.4701113754067611
Gender Age,Male 45 - 54,0.5360103351941027
Gender Age,Male > 54,0.548120773972341
Gender Age,Female 18 - 24,0.307111840283876
Gender Age,Female 25 - 34,0.2889452494683241
Gender Age,Female 35 - 44,0.3462169177525703
Gender Age,Female 45 - 54,0.4485065813890285
Gender Age,Female > 54,0.4145277177859126
Gender Race,Male White,0.5697962320700909
Gender Race,Male Hispanic,0.25527555960084825
Gender Race,Male Black,0.23683701754671996
Gender Race,Male Other,0.38581592077912225
Gender Race,Female White,0.4580127780719775
Gender Race,Female Hispanic,0.21127188137135258
Gender Race,Female Black,0.10941776968797898
Gender Race,Female Other,0.2858215655559031
Gender Education,Male No Bachelors,0.5196635980382638
Gender Education,Male Bachelors,0.5084729425442627
Gender Education,Female No Bachelors,0.39941902125547485
Gender Education,Female Bachelors,0.39097757153851725
Gender Urbanicity,Male R1,0.7065113836718516
Gender Urbanicity,Male R2,0.6615612721505291
Gender Urbanicity,Male S3,0.5635412958857338
Gender Urbanicity,Male S4,0.4539287113381199
Gender Urbanicity,Male U5,0.37226978510650255
Gender Urbanicity,Male U6,0.22126548568863044
Gender Urbanicity,Female R1,0.5917480166511272
Gender Urbanicity,Female R2,0.5337680507704422
