party,gender,age,race,education,urbanicity,married,vote2018,district,wave
Dem,Female,18 - 24,Hispanic,No Bachelors,U5,Unmarried,Republican candidate,CA-10,2018-09
Dem,Male,45 - 54,White,No Bachelors,U5,Married,Democratic candidate,CA-10,2018-09
Dem,Female,35 - 44,White,No Bachelors,S4,Unmarried,Democratic candidate,CA-10,2018-09
Rep,Female,25 - 34,Hispanic,No Bachelors,S4,Married,Other candidate/not sure,CA-10,2018-09
Ind,Male,35 - 44,White,Bachelors,U5,Unmarried,Republican candidate,CA-10,2018-09
Dem,Male,45 - 54,Black,No Bachelors,S3,Unmarried,Other candidate/not sure,CA-10,2018-09
Ind,Male,18 - 24,Other,No Bachelors,S4,Unmarried,Democratic candidate,CA-10,2018-09
Rep,Male,25 - 34,White,No Bachelors,S3,Unmarried,Other candidate/not sure,CA-10,2018-09
Ind,Female,18 - 24,White,No Bachelors,S3,Unmarried,Democratic candidate,CA-10,2018-09
Dem,Female,25 - 34,Other,Bachelors,S3,Unmarried,Democratic candidate,CA-10,2018-09
Dem,Female,35 - 44,White,Bachelors,U5,Married,Republican candidate,CA-10,2018-09
Dem,Male,25 - 34,White,No Bachelors,S4,Unmarried,Democratic candidate,CA-10,2018-09
Rep,Female,25 - 34,Other,Bachelors,S4,Married,Republican candidate,CA-10,2018-09
Dem,Female,35 - 44,White,No Bachelors,S3,Married,Democratic candidate,CA-10,2018-09
Ind,Male,18 - 24,White,No Bachelors,U5,Unmarried,Republican candidate,CA-10,2018-09
Ind,Female,25 - 34,Black,No Bachelors,S3,Unmarried,Democratic candidate,CA-10,2018-09
Ind,Male,35 - 44,White,No Bachelors,S3,Unmarried,Other candidate/not sure,CA-10,2018-09
Dem,Female,45 - 54,Hispanic,No Bachelors,U5,Married,Other candidate/not sure,CA-10,2018-09
Dem,Female,> 54,White,No Bachelors,S4,Unmarried,Democratic candidate,CA-10,2018-09
Rep,Female,25 - 34,White,Bachelors,S3,Married,Republican candidate,CA-10,2018-09
Dem,Female,18 - 24,White,No Bachelors,S4,Unmarried,Other candidate/not sure,CA-10,2018-09
Dem,Female,18 - 24,White,Bachelors,S4,Unmarried,Democratic candidate,CA-10,2018-09
Dem,Female,18 - 24,Hispanic,No Bachelors,S4,Unmarried,Other candidate/not sure,CA-10,2018-09
Dem,Female,35 - 44,Hispanic,Bachelors,U5,Unmarried,Democratic candidate,CA-10,2018-09
Ind,Female,25 - 34,Other,Bachelors,R1,Married,Republican candidate,CA-10,2018-09
Dem,Female,25 - 34,Hispanic,No Bachelors,U5,Unmarried,Democratic candidate,CA-10,2018-09
Rep,Female,45 - 54,Hispanic,No Bachelors,U5,Married,Republican candidate,CA-10,2018-09
Ind,Male,25 - 34,White,No Bachelors,R1,Unmarried,Other candidate/not sure,CA-10,2018-09
Rep,Female,18 - 24,White,No Bachelors,S4,Unmarried,Republican candidate,CA-10,2018-09
Ind,Female,25 - 34,Black,No Bachelors,R2,Unmarried,Other candidate/not sure,CA-10,2018-09
Ind,Female,25 - 34,White,No Bachelors,S3,Unmarried,Other candidate/not sure,CA-10,2018-09
Ind,Male,18 - 24,Black,Bachelors,S3,Unmarried,Republican candidate,CA-10,2018-09
Rep,Female,35 - 44,White,No Bachelors,S3,Unmarried,Republican candidate,CA-10,2018-09
Ind,Female,25 - 34,Other,No Bachelors,R2,Unmarried,Other candidate/not sure,CA-10,2018-09
Ind,Female,35 - 44,White,No Bachelors,S3,Unmarried,Other candidate/not sure,CA-10,2018-09
Ind,Female,25 - 34,Hispanic,No Bachelors,S4,Unmarried,Democratic candidate,CA-10,2018-09
Rep,Female,35 - 44,Hispanic,Bachelors,S4,Married,Democratic candidate,CA-10,2018-09
Dem,Female,25 - 34,Hispanic,No Bachelors,U5,Married,Democratic candidate,CA-10,2018-09
Dem,Female,45 - 54,White,No Bachelors,S4,Unmarried,Democratic candidate,CA-10,2018-09
Dem,Female,25 - 34,White,No Bachelors,U5,Unmarried,Other candidate/not sure,CA-10,2018-09
Rep,Female,35 - 44,Hispanic,No Bachelors,U5,Unmarried,Republican candidate,CA-10,2018-09
Rep,Male,35 - 44,White,No Bachelors,S4,Unmarried,Republican candidate,CA-10,2018-09
Dem,Male,45 - 54,Hispanic,Bachelors,S3,Married,Democratic candidate,CA-10,2018-09
Ind,Female,35 - 44,White,Bachelors,S4,Unmarried,Other candidate/not sure,CA-10,2018-09
Dem,Female,18 - 24,White,No Bachelors,S3,Unmarried,Democratic candidate,CA-10,2018-09
Rep,Female,35 - 44,White,No Bachelors,S4,Unmarried,Republican candidate,CA-10,2018-09
Rep,Female,45 - 54,White,No Bachelors,S4,Unmarried,Republican candidate,CA-10,2018-09
Rep,Male,18 - 24,Hispanic,No Bachelors,S4,Unmarried,Republican candidate,CA-10,2018-09
Dem,Female,25 - 34,Hispanic,No Bachelors,S4,Married,Democratic candidate,CA-10,2018-09
Dem,Female,45 - 54,White,No Bachelors,S4,Unmarried,Democratic candidate,CA-10,2018-09
Dem,Male,18 - 24,White,No Bachelors,S4,Unmarried,Democratic candidate,CA-10,2018-09
Dem,Female,18 - 24,Hispanic,No Bachelors,S4,Unmarried,Other candidate/not sure,CA-10,2018-09
Rep,Male,> 54,White,Bachelors,S4,Unmarried,Republican candidate,CA-10,2018-09
