"","party","gender","age","race","education","urbanicity","married","vote2018","state","district","wave"
"1","Dem","Female","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-10","2018-09"
"2","Dem","Male","45 - 54","White","No Bachelors","U5","Married","Democratic candidate","CA","CA-10","2018-09"
"3","Dem","Female","35 - 44","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"4","Rep","Female","25 - 34","Hispanic","No Bachelors","S4","Married","Other candidate/not sure","CA","CA-10","2018-09"
"5","Ind","Male","35 - 44","White","Bachelors","U5","Unmarried","Republican candidate","CA","CA-10","2018-09"
"6","Dem","Male","45 - 54","Black","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"7","Ind","Male","18 - 24","Other","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"8","Rep","Male","25 - 34","White","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"9","Ind","Female","18 - 24","White","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"10","Dem","Female","25 - 34","Other","Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"11","Dem","Female","35 - 44","White","Bachelors","U5","Married","Republican candidate","CA","CA-10","2018-09"
"12","Dem","Male","25 - 34","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"13","Rep","Female","25 - 34","Other","Bachelors","S4","Married","Republican candidate","CA","CA-10","2018-09"
"14","Dem","Female","35 - 44","White","No Bachelors","S3","Married","Democratic candidate","CA","CA-10","2018-09"
"15","Ind","Male","18 - 24","White","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-10","2018-09"
"16","Ind","Female","25 - 34","Black","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"17","Ind","Male","35 - 44","White","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"18","Dem","Female","45 - 54","Hispanic","No Bachelors","U5","Married","Other candidate/not sure","CA","CA-10","2018-09"
"19","Dem","Female","> 54","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"20","Rep","Female","25 - 34","White","Bachelors","S3","Married","Republican candidate","CA","CA-10","2018-09"
"21","Dem","Female","18 - 24","White","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"22","Dem","Female","18 - 24","White","Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"23","Dem","Female","18 - 24","Hispanic","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"24","Dem","Female","35 - 44","Hispanic","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"25","Ind","Female","25 - 34","Other","Bachelors","R1","Married","Republican candidate","CA","CA-10","2018-09"
"26","Dem","Female","25 - 34","Hispanic","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"27","Rep","Female","45 - 54","Hispanic","No Bachelors","U5","Married","Republican candidate","CA","CA-10","2018-09"
"28","Ind","Male","25 - 34","White","No Bachelors","R1","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"29","Rep","Female","18 - 24","White","No Bachelors","S4","Unmarried","Republican candidate","CA","CA-10","2018-09"
"30","Ind","Female","25 - 34","Black","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"31","Ind","Female","25 - 34","White","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"32","Ind","Male","18 - 24","Black","Bachelors","S3","Unmarried","Republican candidate","CA","CA-10","2018-09"
"33","Rep","Female","35 - 44","White","No Bachelors","S3","Unmarried","Republican candidate","CA","CA-10","2018-09"
"34","Ind","Female","25 - 34","Other","No Bachelors","R2","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"35","Ind","Female","35 - 44","White","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"36","Ind","Female","25 - 34","Hispanic","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"37","Rep","Female","35 - 44","Hispanic","Bachelors","S4","Married","Democratic candidate","CA","CA-10","2018-09"
"38","Dem","Female","25 - 34","Hispanic","No Bachelors","U5","Married","Democratic candidate","CA","CA-10","2018-09"
"39","Dem","Female","45 - 54","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"40","Dem","Female","25 - 34","White","No Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"41","Rep","Female","35 - 44","Hispanic","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-10","2018-09"
"42","Rep","Male","35 - 44","White","No Bachelors","S4","Unmarried","Republican candidate","CA","CA-10","2018-09"
"43","Dem","Male","45 - 54","Hispanic","Bachelors","S3","Married","Democratic candidate","CA","CA-10","2018-09"
"44","Ind","Female","35 - 44","White","Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"45","Dem","Female","18 - 24","White","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"46","Rep","Female","35 - 44","White","No Bachelors","S4","Unmarried","Republican candidate","CA","CA-10","2018-09"
"47","Rep","Female","45 - 54","White","No Bachelors","S4","Unmarried","Republican candidate","CA","CA-10","2018-09"
"48","Rep","Male","18 - 24","Hispanic","No Bachelors","S4","Unmarried","Republican candidate","CA","CA-10","2018-09"
"49","Dem","Female","25 - 34","Hispanic","No Bachelors","S4","Married","Democratic candidate","CA","CA-10","2018-09"
"50","Dem","Female","45 - 54","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"51","Dem","Male","18 - 24","White","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"52","Dem","Female","18 - 24","Hispanic","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"53","Rep","Male","> 54","White","Bachelors","S4","Unmarried","Republican candidate","CA","CA-10","2018-09"
"54","Ind","Male","18 - 24","Other","Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"55","Dem","Female","25 - 34","White","Bachelors","U5","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"56","Ind","Female","25 - 34","White","No Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"57","Rep","Female","25 - 34","Other","No Bachelors","U5","Married","Republican candidate","CA","CA-10","2018-09"
"58","Dem","Female","45 - 54","White","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"59","Ind","Male","25 - 34","White","Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"60","Ind","Male","25 - 34","White","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"61","Dem","Female","45 - 54","Hispanic","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"62","Ind","Female","> 54","White","Bachelors","R2","Married","Democratic candidate","CA","CA-10","2018-09"
"63","Dem","Female","25 - 34","White","No Bachelors","S4","Married","Democratic candidate","CA","CA-10","2018-09"
"64","Ind","Female","45 - 54","Hispanic","No Bachelors","S3","Married","Democratic candidate","CA","CA-10","2018-09"
"65","Dem","Female","45 - 54","White","No Bachelors","S4","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"66","Rep","Female","35 - 44","White","No Bachelors","U5","Married","Other candidate/not sure","CA","CA-10","2018-09"
"67","Rep","Female","25 - 34","Hispanic","No Bachelors","U5","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"68","Dem","Female","25 - 34","Black","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-10","2018-09"
"69","Dem","Female","35 - 44","White","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"70","Ind","Female","25 - 34","Black","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"71","Dem","Female","18 - 24","Hispanic","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"72","Dem","Male","18 - 24","Other","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-10","2018-09"
"73","Dem","Female","25 - 34","White","No Bachelors","S4","Married","Democratic candidate","CA","CA-10","2018-09"
"74","Rep","Male","25 - 34","Hispanic","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"75","Dem","Female","45 - 54","White","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"76","Dem","Female","35 - 44","Hispanic","Bachelors","S3","Married","Other candidate/not sure","CA","CA-10","2018-09"
"77","Dem","Female","35 - 44","Hispanic","No Bachelors","S3","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"78","Dem","Female","18 - 24","Other","Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"79","Ind","Female","25 - 34","White","No Bachelors","S4","Married","Other candidate/not sure","CA","CA-10","2018-09"
"80","Ind","Male","45 - 54","Other","No Bachelors","S3","Married","Democratic candidate","CA","CA-10","2018-09"
"81","Rep","Female","25 - 34","Other","Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"82","Dem","Female","35 - 44","Other","No Bachelors","S4","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"83","Ind","Female","45 - 54","White","No Bachelors","U5","Married","Other candidate/not sure","CA","CA-10","2018-09"
"84","Ind","Female","35 - 44","White","No Bachelors","U5","Married","Other candidate/not sure","CA","CA-10","2018-09"
"85","Rep","Female","45 - 54","White","No Bachelors","S3","Unmarried","Republican candidate","CA","CA-10","2018-09"
"86","Rep","Female","25 - 34","Hispanic","No Bachelors","R1","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"87","Dem","Female","35 - 44","White","No Bachelors","U5","Unmarried","Democratic candidate","CA","CA-10","2018-09"
"88","Rep","Female","18 - 24","Hispanic","Bachelors","S3","Unmarried","Other candidate/not sure","CA","CA-10","2018-09"
"89","Rep","Female","25 - 34","White","Bachelors","S4","Married","Other candidate/not sure","CA","CA-10","2018-09"
"90","Ind","Female","25 - 34","Hispanic","No Bachelors","S4","Married","Democratic candidate","CA","CA-10","2018-09"
"91","Dem","Female","18 - 24","Hispanic","No Bachelors","U5","Unmarried","Republican candidate","CA","CA-10","2018-09"
