"","state_abb","state","gender","age","population"
"1","AL","Alabama","male","18 - 24",239256
"2","AK","Alaska","male","18 - 24",44517
"3","GA","Georgia","male","18 - 24",518976
"4","HI","Hawaii","male","18 - 24",72754
"5","ID","Idaho","male","18 - 24",81114
"6","IL","Illinois","male","18 - 24",634154
"7","IN","Indiana","male","18 - 24",341530
"8","IA","Iowa","male","18 - 24",164878
"9","KS","Kansas","male","18 - 24",155909
"10","KY","Kentucky","male","18 - 24",220117
"11","LA","Louisiana","male","18 - 24",236565
"12","ME","Maine","male","18 - 24",58332
"13","AZ","Arizona","male","18 - 24",346529
"14","MD","Maryland","male","18 - 24",284975
"15","MA","Massachusetts","male","18 - 24",350279
"16","MI","Michigan","male","18 - 24",510457
"17","MN","Minnesota","male","18 - 24",257931
"18","MS","Mississippi","male","18 - 24",155765
"19","MO","Missouri","male","18 - 24",301783
"20","MT","Montana","male","18 - 24",52115
"21","NE","Nebraska","male","18 - 24",97219
"22","NV","Nevada","male","18 - 24",129403
"23","NH","New Hampshire","male","18 - 24",65308
"24","AR","Arkansas","male","18 - 24",146603
"25","NJ","New Jersey","male","18 - 24",409663
"26","NM","New Mexico","male","18 - 24",107363
"27","NY","New York","male","18 - 24",991765
"28","NC","North Carolina","male","18 - 24",496392
"29","ND","North Dakota","male","18 - 24",48557
"30","OH","Ohio","male","18 - 24",559376
"31","OK","Oklahoma","male","18 - 24",200804
"32","OR","Oregon","male","18 - 24",186490
"33","PA","Pennsylvania","male","18 - 24",625422
"34","PR","Puerto Rico","male","18 - 24",180755
"35","CA","California","male","18 - 24",2046863
"36","RI","Rhode Island","male","18 - 24",58584
"37","SC","South Carolina","male","18 - 24",246410
"38","SD","South Dakota","male","18 - 24",44122
"39","TN","Tennessee","male","18 - 24",316126
"40","TX","Texas","male","18 - 24",1414319
"41","UT","Utah","male","18 - 24",170583
"42","VT","Vermont","male","18 - 24",34586
"43","VA","Virginia","male","18 - 24",424633
"44","WA","Washington","male","18 - 24",345279
"45","WV","West Virginia","male","18 - 24",86927
"46","CO","Colorado","male","18 - 24",272816
"47","WI","Wisconsin","male","18 - 24",286748
"48","WY","Wyoming","male","18 - 24",30310
"49","CT","Connecticut","male","18 - 24",180215
"50","DC","District of Columbia","male","18 - 24",37275
"51","DE","Delaware","male","18 - 24",44959
"52","FL","Florida","male","18 - 24",911184
"53","AL","Alabama","male","25 - 34",308163
"54","AK","Alaska","male","25 - 34",61214
"55","GA","Georgia","male","25 - 34",680829
"56","HI","Hawaii","male","25 - 34",105921
"57","ID","Idaho","male","25 - 34",108675
"58","IL","Illinois","male","25 - 34",896230
"59","IN","Indiana","male","25 - 34",424217
"60","IA","Iowa","male","25 - 34",200301
"61","KS","Kansas","male","25 - 34",196061
"62","KY","Kentucky","male","25 - 34",285295
"63","LA","Louisiana","male","25 - 34",332105
"64","ME","Maine","male","25 - 34",75833
"65","AZ","Arizona","male","25 - 34",463765
"66","MD","Maryland","male","25 - 34",405833
"67","MA","Massachusetts","male","25 - 34",460595
"68","MI","Michigan","male","25 - 34",607047
"69","MN","Minnesota","male","25 - 34",378501
"70","MS","Mississippi","male","25 - 34",192333
"71","MO","Missouri","male","25 - 34",400091
"72","MT","Montana","male","25 - 34",66134
"73","NE","Nebraska","male","25 - 34",129189
"74","NV","Nevada","male","25 - 34",207583
"75","NH","New Hampshire","male","25 - 34",78893
"76","AR","Arkansas","male","25 - 34",192582
"77","NJ","New Jersey","male","25 - 34",578704
"78","NM","New Mexico","male","25 - 34",141960
"79","NY","New York","male","25 - 34",1408242
"80","NC","North Carolina","male","25 - 34",637781
"81","ND","North Dakota","male","25 - 34",58452
"82","OH","Ohio","male","25 - 34",736708
"83","OK","Oklahoma","male","25 - 34",271421
"84","OR","Oregon","male","25 - 34",277275
"85","PA","Pennsylvania","male","25 - 34",827446
"86","PR","Puerto Rico","male","25 - 34",215429
"87","CA","California","male","25 - 34",2925089
"88","RI","Rhode Island","male","25 - 34",69586
"89","SC","South Carolina","male","25 - 34",309318
"90","SD","South Dakota","male","25 - 34",58036
"91","TN","Tennessee","male","25 - 34",426360
"92","TX","Texas","male","25 - 34",1984745
"93","UT","Utah","male","25 - 34",224286
"94","VT","Vermont","male","25 - 34",36069
"95","VA","Virginia","male","25 - 34",580828
"96","WA","Washington","male","25 - 34",521626
"97","WV","West Virginia","male","25 - 34",111425
"98","CO","Colorado","male","25 - 34",412732
"99","WI","Wisconsin","male","25 - 34",371566
"100","WY","Wyoming","male","25 - 34",42540
"101","CT","Connecticut","male","25 - 34",220790
"102","DC","District of Columbia","male","25 - 34",70063
"103","DE","Delaware","male","25 - 34",61097
"104","FL","Florida","male","25 - 34",1277615
"105","AL","Alabama","male","35 - 44",295922
"106","AK","Alaska","male","35 - 44",48028
"107","GA","Georgia","male","35 - 44",666732
"108","HI","Hawaii","male","35 - 44",89474
"109","ID","Idaho","male","35 - 44",101390
"110","IL","Illinois","male","35 - 44",834164
"111","IN","Indiana","male","35 - 44",411047
"112","IA","Iowa","male","35 - 44",184631
"113","KS","Kansas","male","35 - 44",175221
"114","KY","Kentucky","male","35 - 44",281220
"115","LA","Louisiana","male","35 - 44",281618
"116","ME","Maine","male","35 - 44",76507
"117","AZ","Arizona","male","35 - 44",421711
"118","MD","Maryland","male","35 - 44",372950
"119","MA","Massachusetts","male","35 - 44",409951
